person,trial,id,found,difficulty,common,x,y,class
1,1,12,1,easy,A,0.11573162,0.04838412,A
1,1,19,2,easy,A,0.19164385,0.04483613,B
1,1,11,3,easy,A,0.29626325,-0.01626011,A
1,1,1,4,easy,A,0.29248458,-0.21379294,A
1,1,13,5,easy,A,0.19011267,-0.24111101,A
1,1,15,6,easy,A,0.21846678,-0.41836564,A
1,1,7,7,easy,A,0.10346557,-0.40875811,A
1,1,10,8,easy,A,-0.01709317,-0.39048978,A
1,1,4,9,easy,A,-0.41696175,-0.04435988,A
1,1,8,10,easy,A,-0.41630147,-0.22260752,A
1,1,14,11,easy,A,-0.11990266,-0.04905981,A
1,1,5,12,easy,A,-0.11064343,0.16681958,A
1,1,6,13,easy,A,-0.28172448,0.19000311,A
1,1,9,14,easy,A,-0.40043414,0.3561257,A
1,1,2,15,easy,A,-0.00494426,0.36880301,A
1,1,3,16,easy,A,0.0988043,0.35175579,A
1,1,16,17,easy,A,-0.28647293,-0.04080856,B
1,1,18,18,easy,A,-0.41509524,-0.35023753,B
1,1,17,19,easy,A,-0.09021758,-0.19112943,B
1,1,20,20,easy,A,0.11380857,-0.17387883,B
1,2,1,1,easy,A,-0.3836086,-0.02548412,A
1,2,12,2,easy,A,-0.40413974,-0.22012385,A
1,2,14,3,easy,A,-0.3078978,-0.2468429,A
1,2,13,4,easy,A,-0.19024138,-0.23125035,A
1,2,3,5,easy,A,-0.20331173,0.02328543,A
1,2,7,6,easy,A,0.30039711,0.37893475,A
1,2,10,7,easy,A,0.29100978,0.1915385,A
1,2,2,8,easy,A,0.20426672,0.19437109,A
1,2,15,9,easy,A,-0.00841473,0.21835089,A
1,2,8,10,easy,A,-0.29562282,0.153721,A
1,2,4,11,easy,A,-0.08501767,0.1631862,A
1,2,6,12,easy,A,-0.20036379000000001,-0.40058043,A
1,2,5,13,easy,A,-0.11362112,-0.39864362,A
1,2,9,14,easy,A,0.19676066,-0.24906401,A
1,3,10,1,easy,A,-0.18065724,-0.02241823,A
1,3,14,2,easy,A,-0.19982107,-0.17548662,A
1,3,9,3,easy,A,-0.10872015,-0.17409682,A
1,3,12,4,easy,A,0.014144,0.02247738,A
1,3,7,5,easy,A,0.08431616,-0.17186185,A
1,3,3,6,easy,A,0.19684686,-0.2249658,A
1,3,8,7,easy,A,0.30994283,-0.04101527,A
1,3,4,8,easy,A,0.29139878,-0.37969549,A
