difficulty,common,person,trial,id,x,y,class
easy,A,1,1,1,0.00940519,-0.04527302,A
easy,A,1,1,2,-0.28404052,0.40787906,A
easy,A,1,1,3,-0.09914936,0.0086244,A
easy,A,1,1,4,-0.21607955,0.37049138,A
easy,A,1,1,5,-0.09539429,0.17670396,A
easy,A,1,1,6,-0.10554641,0.4317703,A
easy,A,1,1,7,-0.28950196,0.24977533,A
easy,A,1,1,8,0.20034043,0.36774636,A
easy,A,1,1,9,0.28765937,-0.03380002,A
easy,A,1,1,10,0.19003032,0.00114252,A
easy,A,1,1,11,-0.29554256,-0.379152,A
easy,A,1,1,12,-0.3953225,-0.00583946,A
easy,A,1,1,13,0.09597849,-0.42024267,A
easy,A,1,1,14,-0.20725857,-0.42497662,A
easy,A,1,1,15,-0.39150739,0.35146617,A
easy,A,1,1,16,-0.0199469,-0.4107184,B
easy,A,1,1,17,-0.21629151,0.00581916,B
easy,A,1,1,18,-0.18735702,0.20938898,B
easy,A,1,1,19,-0.11374561,-0.24876203,B
easy,A,1,1,20,0.30350421,-0.16064694,B
easy,A,1,2,1,-0.39052358,0.00170283,A
easy,A,1,2,2,0.20844526,0.23257508,A
easy,A,1,2,3,-0.20898503,0.01067392,A
easy,A,1,2,4,-0.09188587,0.23964117,A
easy,A,1,2,5,-0.09049233,-0.36425708,A
easy,A,1,2,6,-0.19632228,-0.40596355,A
easy,A,1,2,7,0.28701388,0.39661597,A
easy,A,1,2,8,-0.29851011,0.21058738,A
easy,A,1,2,9,0.20414945,-0.21114035,A
easy,A,1,2,10,0.28908317,0.1965972,A
easy,A,1,2,11,0.09660402,-0.42547794,A
easy,A,1,2,12,-0.41211739,-0.18058606,A
easy,A,1,2,13,-0.21466431,-0.18690314,A
easy,A,1,2,14,-0.2938035,-0.21401818,A
easy,A,1,2,15,3.2206e-4,0.20624257,A
easy,A,1,2,16,0.11486819,-0.17871658,B
easy,A,1,2,17,-0.30985858,-0.40935896,B
easy,A,1,2,18,-0.39941608,0.21297826,B
easy,A,1,2,19,4.2272e-4,-0.37460722,B
easy,A,1,2,20,-0.0014204,-5.9569e-4,B
easy,A,1,3,1,0.08147348,0.23249355,A
easy,A,1,3,2,0.20997993,-0.02020297,A
easy,A,1,3,3,0.28825665,0.44090072,A
easy,A,1,3,4,0.18004224,0.38608132,A
easy,A,1,3,5,-0.38423104,0.38896281,A
easy,A,1,3,6,0.31964017,-0.18067775,A
