trialNo,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,mouse_2.started,polygon_example7.started,polygon_example8.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,instructions_text_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,polygon_5.started,polygon_6.started,polygon_7.started,polygon_8.started,polygon_9.started,polygon_10.started,polygon_11.started,polygon_12.started,polygon_13.started,polygon_14.started,polygon_15.started,polygon_16.started,polygon_17.started,polygon_18.started,polygon_19.started,polygon_20.started,polygon_21.started,polygon_22.started,polygon_23.started,polygon_24.started,polygon_25.started,polygon_26.started,polygon_27.started,polygon_28.started,polygon_29.started,polygon_30.started,polygon_31.started,polygon_32.started,polygon_33.started,polygon_34.started,polygon_35.started,polygon_36.started,polygon_37.started,polygon_38.started,polygon_39.started,polygon_40.started,mouse.started,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback_text_2.started,feedback_text.started,feedback_text_2.stopped,feedback_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9280411999207,7.849989924579859e-05,36.9280411999207,36.9280411999207,[0.040740740740740744],[-0.30185185185185187],[1],[0],[0],[3.11737649992574],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5269307999406,4.0499959141016006e-05,0.09351851851851851,-0.262037037037037,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
31,0.3,0.4,-0.4,-0.4,0.2,0,0.2,0.4,-0.3,-0.2,-0.1,-0.2,-0.4,0.2,0.3,0.2,0,0.4,0.3,-0.4,-0.4,0.4,0.1,0.2,-0.4,0,-0.3,-0.4,0.1,0.4,-0.3,0,-0.1,0,0.3,-0.2,-0.2,0.4,0,0,-0.1,0.4,-0.1,-0.4,0.2,-0.2,-0.2,0,-0.2,-0.2,0,-0.4,-0.2,0.2,0,0.2,0.2,0.2,0.1,0,0.2,-0.4,-0.3,0.4,-0.1,0.2,-0.4,-0.2,-0.2,-0.4,0,-0.2,0.1,-0.2,-0.3,0.2,0.1,-0.4,0.3,0,0,0,0,30,,,,,,,,,,,,,,,,,,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,39.360862999921665,0.16297850001137704,[0.28639551 0.35263154],[-0.38837228 -0.38735031],[0.19980589 0.00144032],[0.19039966 0.41673286],[-0.29772515 -0.21061842],[-0.10339651 -0.20339337],[-0.40743226  0.18912484],[0.31657705 0.15416949],[0.0079244  0.36346322],[ 0.30297852 -0.44380571],[-0.41984699  0.36246656],[0.10690881 0.23105299],[-3.82175740e-01 -7.18644649e-05],[-0.2872846  -0.36091299],[0.09649021 0.37845134],[-0.2989468  -0.03863484],[-0.08292004 -0.03303198],[ 0.3084227  -0.16410385],[-0.21390809  0.38623089],[ 0.00914399 -0.02052531],[-0.1174577   0.36561265],[-0.10953422 -0.3910448 ],[ 0.19118116 -0.21711143],[-0.18117065  0.00385752],[-0.18078957 -0.18322357],[ 0.01138147 -0.42659521],[-0.19939021  0.23764065],[-0.00119635  0.16254927],[0.21339424 0.24025107],[ 0.10471773 -0.03272789],[ 0.18161554 -0.394655  ],[-0.31751549  0.40304379],[-0.11799419  0.21671117],[-0.41620275 -0.17969802],[-0.21270268 -0.40560826],[-0.01452992 -0.2353546 ],[ 0.09337754 -0.23651084],[-0.28835935  0.18388341],[ 0.10917611 -0.3722314 ],[ 0.30871115 -0.04309558],[-0.040740740740740744],[-0.08703703703703704],[1],[0],[0],[1.665689199930057],[],59.24626879999414,59.24626879999414,,,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
9,-0.3,-0.2,-0.1,0.4,-0.2,0.4,0.1,0.4,0.1,-0.4,0.1,-0.2,-0.4,0.2,0.1,0,-0.4,0.4,0,0.2,0.3,0.4,0.2,-0.2,-0.1,0.2,-0.3,0.4,0,0.4,-0.1,-0.4,0.2,0,-0.2,-0.4,0.3,-0.2,-0.2,-0.2,0,-0.2,0.1,0.2,0.2,0.4,-0.3,0,0.3,-0.4,0.2,-0.4,0,-0.4,-0.4,0,0,0,-0.2,0.2,-0.4,-0.2,0.2,0.2,-0.4,-0.4,-0.1,-0.2,-0.2,0,-0.1,0,0.3,0.2,0.3,0,-0.3,-0.4,-0.3,0.2,0,1,1,8,,,,,,,,,,,,,,,,,,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,61.28779259999283,0.045491900062188506,[-0.29193186 -0.19235109],[-0.08897521  0.44285737],[-0.18195232  0.38936751],[0.08214054 0.42141484],[ 0.0829782  -0.41511387],[ 0.09682462 -0.18719187],[-0.3932349   0.19549221],[0.08674594 0.01957241],[-0.39827825  0.37226978],[-0.00583448  0.17393751],[0.31302289 0.3699863 ],[ 0.20644325 -0.16463426],[-0.08693194  0.23547123],[-0.31061053  0.44092752],[0.019398   0.44842021],[-0.10911034 -0.42265193],[0.18941974 0.01269101],[-0.21796462 -0.44885681],[ 0.28652224 -0.15039644],[-0.20719358 -0.15619116],[ 0.00992366 -0.21109839],[0.09490301 0.20441405],[0.19174854 0.44568882],[-0.30111822  0.04636423],[ 0.30245345 -0.43810785],[ 0.21952619 -0.38047404],[ 0.00862486 -0.36009295],[-0.39925314  0.02392925],[ 0.01312579 -0.01307917],[-0.21433539  0.22202095],[-0.4033838  -0.15121793],[0.19584949 0.22200157],[-0.39925614 -0.42242278],[-0.10148183 -0.1826253 ],[-0.21389804  0.04173871],[-0.11531596 -0.03355784],[0.31152403 0.22964686],[0.28431947 0.04447456],[-0.28788808 -0.44713454],[-0.28552864  0.18180739],"[0.21574074074074073, -0.07777777777777778, -0.16296296296296298, -0.175, 0.026851851851851852, -0.2953703703703704, -0.2222222222222222, -0.21944444444444444]","[-0.03981481481481482, 0.25925925925925924, 0.3685185185185185, 0.3685185185185185, 0.4638888888888889, -0.18796296296296297, -0.42962962962962964, -0.16203703703703703]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.7113915999652818, 9.14188709994778, 10.613162299967371, 11.006878899992444, 13.26275709993206, 14.968377999961376, 16.82014079997316, 19.090839799959213]","['polygon_15', 'polygon', 'polygon_20']",81.23410749994218,81.23410749994218,,,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
3,-0.1,0.2,0.3,-0.4,-0.1,-0.4,0.2,-0.4,-0.3,0.4,-0.2,-0.4,0,0,-0.3,-0.4,0,-0.2,0.3,0,0.2,0.4,0,-0.4,-0.4,0.2,-0.1,-0.2,0.1,0.4,-0.4,-0.2,0.1,-0.2,0.1,0,0,0.4,0,0.2,0.3,-0.2,0.2,0.2,0.1,-0.4,-0.2,0.2,0.2,-0.2,-0.4,-0.4,-0.4,0,-0.2,0.4,-0.2,-0.2,-0.3,0.2,-0.4,0.4,0.2,0,-0.3,-0.2,-0.1,0,0.3,0.2,-0.2,0,0.1,0.2,0.3,0.4,-0.1,0.4,-0.3,0,0,2,2,2,,,,,,,,,,,,,,,,,,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,83.269269399927,0.033533900044858456,[-0.10938004  0.2425343 ],[ 0.2828527  -0.41874906],[-0.11245507 -0.37099816],[ 0.18770476 -0.41307177],[-0.29340766  0.44003874],[-0.19939284 -0.43659294],[ 0.00546057 -0.02784335],[-0.29749384 -0.38631502],[ 0.01174083 -0.19320262],[0.29932569 0.0140057 ],[0.21827384 0.42090291],[-0.00428315 -0.44421955],[-0.41333125  0.20697159],[-0.10982318 -0.20925276],[0.10322528 0.44688159],[-0.39461005 -0.1722484 ],[ 0.10520461 -0.2259692 ],[ 0.0886985  -0.04163738],[0.01816843 0.42246804],[-0.00118082  0.15751337],[ 0.29836443 -0.17123297],[0.20207065 0.24611335],[ 0.11721571 -0.39721067],[-0.20741569  0.20300092],[ 0.1934904  -0.24286197],[-0.39060338 -0.37396258],[-0.39028435  0.03938777],[-0.18631807  0.4100284 ],[-0.20778663 -0.21437199],[-0.31383886  0.1836003 ],[-0.40821048  0.41156368],[ 0.1832718  -0.03538193],[-0.29679449 -0.207351  ],[-0.09715645 -0.01012159],[0.29291487 0.2402143 ],[-0.21120691 -0.04201307],[0.09201214 0.18203709],[0.29003062 0.41859673],[-0.09476588  0.43186308],[-0.29812717 -0.04406677],"[0.013888888888888888, 0.19166666666666668, 0.2722222222222222, 0.11203703703703703, -0.4101851851851852, -0.2972222222222222, -0.2657407407407407]","[-0.06666666666666667, -0.4083333333333333, -0.41574074074074074, 0.42407407407407405, 0.20462962962962963, -0.3675925925925926, -0.3972222222222222]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.20265859994105995, 3.917724199942313, 5.141074999934062, 9.4937915999908, 13.328300199937075, 18.733144199941307, 19.450610299943946]","['polygon_4', 'polygon_2', 'polygon_13', 'polygon_8']",103.20829360000789,103.20829360000789,,,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
34,-0.4,0,-0.3,-0.2,0.1,-0.4,-0.2,-0.4,-0.1,-0.4,0.3,0,-0.4,-0.2,0.1,0,0.1,0.4,0,0.4,0.2,-0.2,-0.1,0.2,0.3,-0.2,0.1,0.2,-0.1,0.4,0.3,0.4,0.2,0.2,-0.1,-0.2,0.2,0.4,-0.3,0.2,-0.2,0,-0.3,0.4,-0.2,-0.2,0.3,-0.4,-0.2,0.2,-0.4,0.2,0,-0.4,0,0,-0.1,0,-0.4,0.4,0.2,-0.4,-0.2,0.4,0.2,0,0,0.2,0.1,-0.2,0,-0.2,-0.3,-0.4,-0.4,-0.4,0.3,0.2,-0.3,0,0,3,3,33,,,,,,,,,,,,,,,,,,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,105.27451379992999,0.03440640005283058,[-0.41034746  0.01792467],[-0.3018084  -0.24594457],[ 0.09020542 -0.42874967],[-0.21780584 -0.43950534],[-0.09133476 -0.37605062],[ 0.29428855 -0.0491974 ],[-0.40753483 -0.20109855],[0.09154164 0.03924224],[0.08371513 0.41573741],[-0.01441048  0.41425414],[ 0.2170061  -0.19305198],[-0.09551288  0.18318938],[ 0.29855039 -0.15004702],[0.11355646 0.17853734],[-0.11483066  0.37821103],[0.31896771 0.36330842],[0.20521435 0.21486915],[-0.09453258 -0.2099387 ],[0.20866737 0.38841629],[-0.28610937  0.23536957],[-0.18916267 -0.00489811],[-0.29375521  0.37665212],[-0.20085204 -0.17783507],[ 0.28002458 -0.39460733],[-0.21943269  0.24508562],[-0.41274847  0.160926  ],[-0.01747532 -0.39074281],[-0.01666913  0.02321393],[-0.09799417 -0.04495992],[-0.38824608  0.38231267],[ 0.20208231 -0.44827903],[-0.2037817   0.42007392],[ 0.21891743 -0.01409043],[-0.00637413  0.18883122],[ 0.08727078 -0.180486  ],[ 0.01359361 -0.19419579],[-0.31097209 -0.39203926],[-0.41035524 -0.37076301],[0.3006227  0.20179974],[-0.30480708  0.00201036],"[0.2101851851851852, -0.20277777777777778, -0.26944444444444443, -0.4351851851851852, -0.275]","[-0.20185185185185187, -0.3787037037037037, -0.2601851851851852, 0.032407407407407406, 0.23425925925925925]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[5.657515299972147, 8.848838399979286, 11.044772700057365, 12.975618400028907, 19.667823800002225]","['polygon_11', 'polygon_20']",125.22497419989668,125.22497419989668,,,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
35,-0.1,-0.4,-0.2,-0.4,0.1,-0.4,-0.2,0,0.3,-0.4,0.1,0.4,-0.2,0.4,-0.1,-0.2,-0.3,0.2,0.1,0.2,-0.1,0,-0.4,-0.2,0.2,0.4,0,0.4,0,-0.4,0.1,-0.2,0.2,0.2,0.1,0,0.3,0.2,-0.3,-0.2,-0.1,0.4,-0.1,0.2,0.2,-0.4,-0.2,-0.2,-0.3,0.4,0,0,-0.4,0,0.3,0,0,0.2,0.3,-0.2,-0.4,0.2,0.3,0.4,0.2,0,0,-0.2,-0.3,0,0.2,-0.2,-0.2,0.2,-0.3,-0.4,-0.4,0.4,-0.4,-0.4,0,4,4,34,,,,,,,,,,,,,,,,,,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,127.27874449989758,0.04411020001862198,[-0.10006478 -0.40392774],[-0.19725856 -0.42627839],[ 0.09138238 -0.38584597],[-0.18298726 -0.02184068],[ 0.28632696 -0.4058918 ],[0.11661929 0.38922   ],[-0.19729472  0.38616815],[-0.08899102 -0.22256261],[-0.29518229  0.2295481 ],[0.11550397 0.16669164],[-0.0885159  -0.02405488],[-0.41319515 -0.23397217],[0.20071879 0.39330913],[-0.01417113  0.39621855],[-0.00862237 -0.37492613],[ 0.11559669 -0.17636127],[0.21799999 0.22875933],[0.08452544 0.02920098],[0.28103052 0.15625922],[-0.31750412 -0.1908707 ],[-0.10469816  0.42632122],[-0.0910198   0.19162766],[ 0.18779667 -0.37268011],[-0.21076042 -0.22623519],[-0.31672923  0.41495333],[-0.01314307 -0.00168758],[-0.38979327 -0.01964228],[0.29619383 0.03406038],[0.01376655 0.2381557 ],[ 0.29937714 -0.22796631],[-0.38403107  0.17869431],[0.29930746 0.43703701],[0.21431111 0.02543399],[ 0.009711   -0.21554515],[-0.31134753  0.01871035],[ 0.21484743 -0.21047332],[-0.19560776  0.17822844],[-0.28782702 -0.37780688],[-0.38261042  0.36105092],[-0.40077928 -0.36753753],"[-0.17037037037037037, -0.12222222222222222, -0.016666666666666666, 0.07777777777777778, 0.1527777777777778]","[-0.05740740740740741, -0.39537037037037037, -0.3537037037037037, -0.39166666666666666, -0.4101851851851852]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[3.251719900057651, 7.877864800044335, 9.24599860003218, 10.075498000020161, 10.563736599986441]",['polygon_3'],140.7900846999837,140.7900846999837,,,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
11,-0.1,0.2,0.3,0.2,-0.4,-0.4,0.3,-0.2,0.3,0.4,-0.3,-0.2,-0.1,0.4,0.1,-0.4,-0.1,-0.4,0.2,0,0.2,-0.4,-0.3,-0.4,-0.2,0,0.1,-0.2,-0.3,0,0.3,0,-0.2,-0.2,-0.4,0.4,0.1,0,-0.4,-0.2,-0.2,0.4,0,-0.2,0,0.4,0.1,0.4,0.3,-0.4,0.2,0.4,0.2,0.2,0.2,-0.2,-0.3,0.4,0,-0.4,-0.3,0.2,-0.4,0,-0.1,0,-0.2,0.2,0.1,0.2,-0.2,-0.4,0,0.2,0,0,-0.1,-0.2,-0.4,0.2,0,5,5,10,,,,,,,,,,,,,,,,,,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,142.8751916999463,0.03947770001832396,[-0.08345428  0.20251521],[0.31478354 0.22502852],[-0.41658334 -0.40590502],[ 0.31325322 -0.20781083],[0.29887976 0.36258044],[-0.31595146 -0.17015156],[-0.10338257  0.38729051],[ 0.08504907 -0.4173966 ],[-0.10432047 -0.43569497],[ 0.19358858 -0.02079994],[ 0.21644546 -0.44152681],[-0.30829044 -0.40920572],[-0.1835834   0.01132865],[ 0.10166449 -0.22510702],[-0.30102815 -0.00506352],[0.30124783 0.04712545],[-0.19780078 -0.24456673],[-0.39984436  0.36305061],[ 0.11133167 -0.03138964],[-0.4069778  -0.18374649],[-0.1801269   0.44968238],[ 0.00875772 -0.21465716],[0.01179888 0.44899922],[0.08626147 0.38519174],[ 0.29691992 -0.4204032 ],[0.20544743 0.44328032],[0.18267928 0.16488155],[ 0.18214031 -0.24907882],[-0.31091212  0.36796041],[-0.01437655 -0.38139916],[-0.29814174  0.23472438],[-0.39701164  0.03709253],[-0.08072386  0.01295803],[-0.19569599  0.21771702],[0.10631622 0.18684834],[-0.20467287 -0.37839755],[0.00217316 0.2447924 ],[ 0.01189532 -0.00573458],[-0.09710461 -0.18754431],[-0.40276676  0.20707586],[-0.044444444444444446],[0.11481481481481481],[1],[0],[0],[0.4354926000814885],[],143.98222449992318,143.98222449992318,,,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
14,-0.3,-0.4,-0.4,0.4,-0.2,0.4,-0.2,0,0.2,0,0.2,-0.4,0.3,-0.2,-0.3,0.2,0.2,0.2,0.1,-0.4,0.3,-0.4,0.2,0.4,-0.2,-0.4,-0.1,0.4,0.2,-0.2,0,-0.2,-0.1,0.2,0.1,0.4,-0.1,0,-0.4,0,0.3,0.2,0,-0.4,0.3,0.4,-0.2,0.2,-0.3,-0.2,-0.2,-0.2,-0.4,-0.2,0.1,-0.2,0,0.4,-0.4,0.2,0.3,0,0.1,0,-0.4,-0.4,-0.1,-0.2,-0.3,0.4,0,0.2,-0.3,0,-0.1,-0.4,0.1,0.2,0,0,0,6,6,13,,,,,,,,,,,,,,,,,,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,146.06529899989255,0.038380300044082105,[-0.3036153  -0.39002638],[-0.40083614  0.43707384],[-0.19259284  0.38227373],[-0.20371605  0.01466561],[0.21219339 0.02400084],[ 0.19898678 -0.35033723],[ 0.30395221 -0.15527506],[-0.30156103  0.15221146],[0.21638629 0.23349492],[ 0.09578528 -0.43396903],[ 0.30160945 -0.37593065],[0.18321387 0.44288932],[-0.20599153 -0.35834404],[-0.10763757  0.36278639],[ 0.18979448 -0.22542865],[ 0.00213903 -0.21282571],[-0.10835887  0.15567253],[0.08428791 0.42017326],[-0.10294581  0.02349531],[-0.39690988  0.03782853],[0.28962384 0.15557156],[-0.01725079 -0.38609679],[0.30256287 0.44384021],[-0.21610675  0.20498084],[-0.28700998 -0.23358215],[-0.2051384  -0.20270858],[-0.39327053 -0.22869642],[ 0.08105227 -0.15889172],[0.01069368 0.42180506],[-0.38043801  0.21725598],[ 0.29138663 -0.00506345],[0.11896724 0.02530527],[-0.40018424 -0.36535008],[-0.09301206 -0.20948331],[-0.31307495  0.4272587 ],[-0.00053309  0.24904341],[-0.31399816 -0.01002873],[-0.11833632 -0.38929801],[0.08522312 0.17792887],[-0.01397782  0.02268975],[0.13055555555555556],[-0.44074074074074077],[1],[0],[0],[3.16739369998686],[],150.70369090000167,150.70369090000167,152.7880850000074,152.7880850000074,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
33,0.1,0.4,-0.3,0.4,-0.1,0,-0.2,0,0.2,-0.4,0.2,0.4,0.3,-0.2,0.2,0.2,0.3,-0.4,0,0.2,-0.4,0.4,-0.1,-0.2,-0.3,0,0.1,-0.2,-0.4,-0.2,-0.2,-0.4,0.3,0.4,-0.3,0.2,-0.2,0.4,0,-0.4,-0.2,-0.2,-0.1,-0.4,-0.4,-0.4,0,0,0.1,-0.4,0.3,0.2,0.2,-0.2,0.1,0,0,-0.2,-0.4,0,-0.2,0.2,-0.3,-0.2,-0.4,0.2,-0.1,0.2,-0.3,-0.4,-0.1,0.4,0.1,0.2,0.2,0,0,0.4,0.3,0,0,7,7,32,,,,,,,,,,,,,,,,,,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,152.7880850000074,0.02833290002308786,[0.08945663 0.37037797],[-0.31781698  0.43563683],[-0.0981022   0.01382728],[-0.21638665 -0.02270523],[ 0.18159525 -0.37807232],[0.18137161 0.42549781],[ 0.29272635 -0.17734633],[0.18432378 0.16498662],[ 0.30635961 -0.41637441],[0.00209488 0.18623875],[-0.41120476  0.38797146],[-0.09280031 -0.24671844],[-0.28133468  0.03028641],[ 0.08858668 -0.20318959],[-0.38856907 -0.2246886 ],[-0.19998748 -0.37326415],[0.28470878 0.44220891],[-0.28517683  0.20374695],[-0.19837015  0.38335272],[ 0.00631976 -0.43046431],[-0.1854615  -0.20995368],[-0.10848244 -0.42189953],[-0.3891707  -0.37614389],[ 0.00549968 -0.01823551],[ 0.08193788 -0.35426309],[0.31950184 0.18181659],[ 0.21954711 -0.24586584],[0.11650396 0.02738942],[ 0.0037209  -0.20823849],[-0.39734851  0.00608512],[-0.18165244  0.1908203 ],[-0.29019195 -0.20003236],[-0.40403099  0.24169233],[-0.08060466  0.24295884],[-0.2897882 -0.4491296],[-0.08842427  0.38387493],[0.09103557 0.22738144],[ 0.1968054  -0.00512355],[-0.00260887  0.36487108],[0.30002231 0.03504757],"[0.0787037037037037, 0.19722222222222222]","[-0.3, -0.387037037037037]","[1, 1]","[0, 0]","[0, 0]","[0.08055850001983345, 1.309396700002253]",['polygon_5'],155.82397669996135,155.82397669996135,157.9351395999547,157.9351395999547,003,001,2023-03-14_13h47.57.281,foraging_expt_polygons_easy_B,2022.2.4,60.03208112286486,
