trialNo,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,mouse_2.started,polygon_example7.started,polygon_example8.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,instructions_text_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,polygon_5.started,polygon_6.started,polygon_7.started,polygon_8.started,polygon_9.started,polygon_10.started,polygon_11.started,polygon_12.started,polygon_13.started,polygon_14.started,polygon_15.started,polygon_16.started,polygon_17.started,polygon_18.started,polygon_19.started,polygon_20.started,polygon_21.started,polygon_22.started,polygon_23.started,polygon_24.started,polygon_25.started,polygon_26.started,polygon_27.started,polygon_28.started,polygon_29.started,polygon_30.started,polygon_31.started,polygon_32.started,polygon_33.started,polygon_34.started,polygon_35.started,polygon_36.started,polygon_37.started,polygon_38.started,polygon_39.started,polygon_40.started,mouse.started,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback_text_2.started,feedback_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.676683612135093,3.455396836216096e-05,13.676683612135093,13.676683612135093,[-0.10925925925925926],[-0.30648148148148147],[1],[0],[0],[7.247046161399339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2023-03-10_16h04.22.751,foraging_expt_polygons_hard_A,2022.2.4,60.00430903942695,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.908591829578654,1.6826279534143396e-05,-0.1712962962962963,-0.28055555555555556,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2023-03-10_16h04.22.751,foraging_expt_polygons_hard_A,2022.2.4,60.00430903942695,
14,-0.3,-0.4,-0.4,0.4,-0.2,0.4,-0.2,0,0.2,0,0.2,-0.4,0.3,-0.2,-0.3,0.2,0.2,0.2,0.1,-0.4,0.3,-0.4,0.2,0.4,-0.2,-0.4,-0.1,0.4,0.2,-0.2,0,-0.2,-0.1,0.2,0.1,0.4,-0.1,0,-0.4,0,0.3,0.2,0,-0.4,0.3,0.4,-0.2,0.2,-0.3,-0.2,-0.2,-0.2,-0.4,-0.2,0.1,-0.2,0,0.4,-0.4,0.2,0.3,0,0.1,0,-0.4,-0.4,-0.1,-0.2,-0.3,0.4,0,0.2,-0.3,0,-0.1,-0.4,0.1,0.2,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,25.678868324437644,0.092749164919951,[-0.2966844  -0.44702869],[-0.41168273  0.43390003],[-0.189235    0.38562801],[-0.20503851 -0.02342928],[ 0.19085732 -0.0197018 ],[ 0.19821097 -0.36710812],[ 0.29466601 -0.23552886],[-0.30391495  0.243291  ],[0.18833962 0.23772744],[ 0.10854465 -0.39839656],[ 0.30129164 -0.3972298 ],[0.19035711 0.4291287 ],[-0.20347759 -0.42486733],[-0.0860496   0.36652316],[ 0.19686657 -0.17426249],[ 0.01311441 -0.17721203],[-0.10879522  0.23838542],[0.0993168  0.42858892],[-0.08738362  0.04796706],[-0.41267722 -0.02845947],[0.29989818 0.15000719],[-0.00642798 -0.42983323],[0.28498998 0.43673339],[-0.18467224  0.15925423],[-0.31019414 -0.17000547],[-0.18338261 -0.2304433 ],[-0.41015476 -0.24297977],[ 0.08337462 -0.19907255],[0.00070869 0.4046256 ],[-0.38212922  0.22717581],[ 0.29731409 -0.01786   ],[ 0.11780484 -0.03605446],[-0.40236044 -0.35537932],[-0.0832336  -0.24044688],[-0.2975457   0.42375075],[0.01607304 0.17366366],[-0.29021029 -0.00463818],[-0.11144436 -0.35601104],[0.11991923 0.17307018],[ 0.00635954 -0.01392089],"[-0.4083333333333333, -0.09444444444444444, 0.18425925925925926, 0.17962962962962964, 0.19444444444444445, 0.006481481481481481, 0.2953703703703704, 0.29444444444444445, 0.1962962962962963, -0.2037037037037037]","[0.42962962962962964, 0.36203703703703705, -0.1537037037037037, 0.23333333333333334, -0.18796296296296297, -0.18425925925925926, -0.4027777777777778, -0.23425925925925925, -0.3731481481481482, -0.019444444444444445]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.9017167914571473, 2.518093209784638, 5.116895178580307, 6.501049088570653, 7.851072089497393, 8.900102369891101, 13.216476414512726, 13.966881071546595, 14.849638550451346, 18.79970175416929]","['polygon_2', 'polygon_14', 'polygon_9', 'polygon_15', 'polygon_16', 'polygon_11', 'polygon_7', 'polygon_6', 'polygon_4']",45.626062046310835,45.626062046310835,002,2023-03-10_16h04.22.751,foraging_expt_polygons_hard_A,2022.2.4,60.00430903942695,
20,0.2,0.4,-0.1,0,-0.3,-0.2,0.3,-0.2,-0.2,-0.2,-0.4,0,0,-0.2,0.3,-0.4,-0.4,-0.2,-0.1,0.4,-0.4,-0.4,-0.2,0.2,-0.1,0.2,-0.2,0,0.3,0.2,0.2,0,-0.4,0.2,-0.1,-0.2,-0.4,0.4,0.3,0,0,0.2,0.1,-0.4,0.3,0.4,0.1,0.2,-0.2,-0.4,0.2,0.2,0.2,-0.4,0.1,0.4,-0.3,0,-0.3,-0.4,0,-0.4,-0.2,0.4,0.2,-0.2,-0.3,0.2,-0.3,0.4,0.1,-0.2,0,0,-0.1,-0.4,0,0.4,0.1,0,0,1,1,19,,,,,,,,,,,,,,,,,,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,47.62598122006784,0.035547321360354545,[0.20824285 0.41901575],[-0.09512154 -0.00660221],[-0.29389537 -0.24064302],[ 0.2870258  -0.19372655],[-0.19494399 -0.18486888],[-0.40449926 -0.02937689],[ 0.00314683 -0.20835105],[ 0.31044851 -0.38608461],[-0.40938586 -0.23821723],[-0.10320191  0.44725577],[-0.39964155 -0.40649705],[-0.18532616  0.18955292],[-0.08125267  0.19607463],[-0.18344938  0.01379166],[0.30681141 0.23356897],[ 0.20240895 -0.04695472],[-0.41912738  0.16805498],[-0.08289489 -0.21310713],[-0.39912492  0.42054002],[0.29059916 0.02676012],[0.00276874 0.15964435],[ 0.10304145 -0.41747591],[0.30749929 0.42179393],[0.10402527 0.17033052],[-0.19789319 -0.41848925],[0.21434575 0.1913868 ],[ 0.21996144 -0.39357114],[0.10562837 0.4342844 ],[-0.31675683 -0.03269903],[-0.30227902 -0.35180841],[ 0.00276098 -0.37526808],[-0.202293   0.4206947],[ 0.20596999 -0.23925329],[-0.29363794  0.21784171],[-0.3047567  0.4074309],[ 0.09093997 -0.24405459],[ 0.01180511 -0.03198719],[-0.11686488 -0.35019385],[0.01387966 0.4243166 ],[0.08350506 0.00073234],"[-0.20092592592592592, 0.21388888888888888, 0.29814814814814816, 0.3055555555555556, -0.18055555555555555, -0.18981481481481483, -0.08611111111111111, 0.1935185185185185]","[-0.016666666666666666, 0.41944444444444445, 0.25277777777777777, 0.24166666666666667, 0.009259259259259259, -0.1925925925925926, -0.21481481481481482, -0.2462962962962963]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.1879132016292715, 3.6046034300961765, 4.720429839366261, 5.300164326661616, 6.400070369909372, 7.6001534797196655, 8.033121933147413, 10.43212954313276]","['polygon', 'polygon_15', 'polygon_14', 'polygon_5', 'polygon_18', 'polygon_33']",58.05792056613245,58.05792056613245,002,2023-03-10_16h04.22.751,foraging_expt_polygons_hard_A,2022.2.4,60.00430903942695,
23,0.1,0.4,-0.1,-0.4,0,0.4,0.3,0,0.2,0.2,-0.2,-0.4,-0.1,-0.2,-0.2,0.2,0.1,0,-0.3,0.2,0.2,-0.4,0.3,0.4,0,0,-0.3,-0.2,0.2,-0.2,-0.4,0,-0.2,0,0,-0.4,-0.2,-0.2,-0.3,-0.4,0.2,0,-0.4,0.2,0,0.2,-0.3,0.4,-0.2,0.4,0.1,-0.4,-0.1,0,-0.4,-0.2,-0.4,0.4,0,-0.2,-0.1,0.4,0.3,0.2,0.1,0.2,0.3,-0.4,0.3,-0.2,-0.1,0.2,0.1,-0.2,-0.3,0,-0.4,-0.4,0.2,0.4,0,2,2,22,,,,,,,,,,,,,,,,,,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,60.090767870337004,0.020081565397049417,[0.08797118 0.37404995],[-0.10881596 -0.42068787],[0.00446384 0.4258221 ],[0.28674336 0.03219348],[0.18077793 0.22699146],[-0.18931537 -0.39363159],[-0.10500728 -0.16838497],[-0.19765886  0.18057646],[ 0.10957888 -0.02428468],[-0.29127682  0.24238386],[ 0.19995178 -0.42210678],[0.28973389 0.43805714],[ 0.00038212 -0.00046761],[-0.31231876 -0.19826784],[ 0.21525337 -0.22224276],[-0.38308106 -0.01048501],[-0.20084203  0.02743898],[-0.00801726 -0.3522983 ],[-0.20099139 -0.2201998 ],[-0.30875564 -0.37814445],[0.19833896 0.02102241],[-0.40095844  0.18804497],[-0.0141217   0.24948016],[-0.30610174  0.42209386],[-0.20484765  0.35079334],[ 0.10091482 -0.39252494],[-0.08526914  0.02653744],[-0.38584666 -0.19948963],[-0.39739785  0.39666939],[-0.01502065 -0.22928577],[-0.08063999  0.43545179],[0.30095222 0.23506908],[0.08623106 0.21643473],[ 0.30761757 -0.3743369 ],[ 0.30723882 -0.21087484],[-0.08263004  0.21689646],[ 0.10461416 -0.21243876],[-0.29176105  0.03794742],[-0.40062364 -0.43265556],[0.18011596 0.38258162],"[0.000925925925925926, 0.09166666666666666, 0.29259259259259257, 0.18611111111111112, 0.20555555555555555, -0.20277777777777778, -0.29907407407407405, -0.18611111111111112, -0.001851851851851852, -0.3925925925925926, -0.21203703703703702, 0.10462962962962963, 0.28425925925925927]","[0.43796296296296294, 0.3712962962962963, 0.43796296296296294, 0.24074074074074073, -0.2212962962962963, -0.21944444444444444, 0.25555555555555554, 0.18055555555555555, 0.000925925925925926, -0.020370370370370372, 0.030555555555555555, -0.030555555555555555, 0.027777777777777776]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.6773921187505039, 2.144067519058808, 2.810617803948844, 3.643693284540859, 5.6436752563822665, 7.64356408274034, 9.20985557342101, 9.743096943115233, 10.976396633903278, 14.609153737223096, 15.608943108240055, 16.708760212575726, 17.87510242247299]","['polygon_3', 'polygon', 'polygon_12', 'polygon_5', 'polygon_15', 'polygon_19', 'polygon_10', 'polygon_8', 'polygon_13', 'polygon_16', 'polygon_17', 'polygon_9', 'polygon_4']",80.08787525235675,80.08787525235675,002,2023-03-10_16h04.22.751,foraging_expt_polygons_hard_A,2022.2.4,60.00430903942695,
25,-0.2,0.4,0,0.4,0.2,-0.2,0.3,-0.4,-0.3,0.4,-0.3,-0.4,0.1,-0.2,0.3,0,-0.1,-0.2,-0.2,0,0.3,0.4,0,0,0,0.2,-0.2,-0.2,-0.1,-0.4,0.1,0.4,0.2,0.2,-0.4,0.2,-0.1,0.4,-0.4,-0.4,0.3,-0.2,-0.4,0,-0.3,-0.2,0.1,-0.4,0,-0.4,-0.1,0,0.1,0,-0.1,0.2,-0.2,0.2,0.2,-0.4,-0.3,0.2,0.3,0.2,0,-0.2,0.2,0,-0.4,0.4,0.2,0.4,-0.2,-0.4,-0.4,-0.2,0.1,0.2,-0.3,0,0,3,3,24,,,,,,,,,,,,,,,,,,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,82.07146151574307,0.01646151123350137,[-0.21965941  0.41654579],[-0.00537506  0.39562803],[ 0.19337242 -0.17229426],[ 0.29051648 -0.39392364],[-0.30248895  0.40751281],[-0.30090851 -0.44892347],[ 0.09247011 -0.17380212],[ 0.28128144 -0.04406903],[-0.10829518 -0.22110631],[-0.19255152 -0.01550202],[0.29824263 0.41470144],[-0.01337749  0.04187876],[-0.00834288  0.22011823],[-0.20448178 -0.23387352],[-0.10350716 -0.44081301],[0.10976762 0.42734578],[0.21948711 0.23591305],[-0.40471974  0.17271858],[-0.09608929  0.39023075],[-0.40691255 -0.42768537],[ 0.29780376 -0.21729925],[-0.38805754 -0.03997239],[-0.30826402 -0.22138277],[ 0.10882394 -0.37715425],[-0.00339485 -0.41034558],[-0.09057816  0.04215172],[0.08967835 0.01432294],[-0.10704634  0.15348317],[-0.21456369  0.24741181],[ 0.19413825 -0.3571823 ],[-0.31664109  0.1596848 ],[0.28819298 0.18000562],[ 0.00506135 -0.15839832],[ 0.20521245 -0.0081726 ],[-0.39556538  0.43031821],[0.20606775 0.41746953],[-0.19276454 -0.42380152],[-0.38910731 -0.16303445],[0.10861875 0.21877744],[-0.2925338  -0.04403024],"[-0.2111111111111111, -0.30833333333333335, 0.09444444444444444, 0.28703703703703703, 0.005555555555555556, -0.010185185185185186, 0.2222222222222222, -0.014814814814814815, 0.27685185185185185, 0.19074074074074074, 0.09166666666666666, -0.10648148148148148, -0.19907407407407407, -0.31296296296296294]","[0.4101851851851852, 0.3990740740740741, 0.4361111111111111, 0.4166666666666667, 0.39444444444444443, 0.21481481481481482, 0.22407407407407406, 0.04351851851851852, -0.046296296296296294, -0.16944444444444445, -0.17777777777777778, -0.23333333333333334, -0.2361111111111111, -0.45]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.8829732158665138, 2.56613825133536, 4.448548688196752, 5.565897575423151, 6.215146537377223, 8.19827007803542, 8.748576000856701, 12.930903177673827, 15.446826698620498, 16.630304973337843, 17.046977774585685, 17.931208454485386, 18.446856745551486, 19.19646275517698]","['polygon', 'polygon_5', 'polygon_16', 'polygon_11', 'polygon_2', 'polygon_13', 'polygon_17', 'polygon_12', 'polygon_8', 'polygon_3', 'polygon_7', 'polygon_9', 'polygon_14', 'polygon_6']",102.08524404267155,102.08524404267155,002,2023-03-10_16h04.22.751,foraging_expt_polygons_hard_A,2022.2.4,60.00430903942695,
4,-0.3,0.4,-0.1,-0.4,-0.3,-0.2,-0.1,-0.2,-0.2,0.2,0.2,0,-0.4,0.2,-0.3,-0.4,0.2,-0.2,0,-0.4,0.1,0,0.3,-0.4,0.3,0.4,0.1,-0.4,-0.4,-0.4,-0.3,0,0.2,-0.4,-0.2,-0.2,0.3,0,-0.4,0.4,-0.2,0.4,-0.1,0.4,0.1,-0.2,0,-0.2,0.3,-0.2,0.1,0.4,-0.2,-0.4,0.2,0.4,0.2,0.2,-0.4,0,0.1,0.2,0,0.2,0.3,0.2,-0.2,0,-0.4,-0.2,0,0.4,-0.1,0,-0.1,0.2,0,0,-0.3,0.2,0,4,4,3,,,,,,,,,,,,,,,,,,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,104.1015093474507,0.037899996003034175,[-0.29349036  0.38642355],[-0.10208744 -0.36294931],[-0.31757055 -0.20515374],[-0.08367579 -0.23518203],[-0.20416166  0.24996312],[0.21187356 0.01798297],[-0.41796     0.18511601],[-0.3177216 -0.3714076],[ 0.18137326 -0.18206004],[-0.01590554 -0.36347961],[0.11138273 0.01546424],[ 0.28365865 -0.42997702],[0.31222869 0.44813636],[ 0.10955689 -0.39979969],[-0.41964696 -0.35344441],[-0.31411683 -0.01905031],[ 0.19188154 -0.44543395],[-0.20671743 -0.24556124],[ 0.28301414 -0.03554639],[-0.39522741  0.3825751 ],[-0.20950707  0.37870066],[-0.09390249  0.39683311],[ 0.09694155 -0.168605  ],[-0.01509922 -0.18028928],[ 0.29453477 -0.15641112],[0.11971016 0.36521195],[-0.21787391 -0.35768245],[0.21115811 0.3621078 ],[0.19396069 0.15684692],[-0.3911736 -0.0147659],[0.09287997 0.24602919],[-1.83067458e-05  1.95292921e-01],[0.29515901 0.21123374],[-0.18729088 -0.03221334],[-0.3910289  -0.24717464],[0.01772598 0.41422093],[-0.09863392  0.03598834],[-0.11802654  0.23447083],[0.01378444 0.01336526],[-0.29219318  0.15864219],"[-0.39166666666666666, -0.3037037037037037, 0.31296296296296294, -0.20925925925925926, -0.42685185185185187, -0.3037037037037037, 0.2898148148148148, 0.17777777777777778, -0.0962962962962963, -0.20462962962962963, -0.3212962962962963, -0.412962962962963, -0.3148148148148148, -0.32037037037037036, -0.09537037037037037, 0.10925925925925926]","[0.3675925925925926, 0.38333333333333336, 0.4527777777777778, 0.2518518518518518, 0.18425925925925926, -0.01574074074074074, -0.030555555555555555, -0.1962962962962963, -0.24444444444444444, -0.25555555555555554, -0.20555555555555555, -0.3527777777777778, -0.362962962962963, -0.38055555555555554, -0.3638888888888889, -0.40370370370370373]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.7402163439073774, 2.6083340569639404, 5.124150009900404, 7.371815739003068, 9.089402537823844, 9.94051489020785, 12.722727528125688, 13.571973064730628, 14.987195200183123, 15.471228111186065, 16.021521714767005, 16.90473740935886, 17.21989665658839, 17.93763278865299, 18.58930743928977, 19.40450800104736]","['polygon_20', 'polygon', 'polygon_13', 'polygon_5', 'polygon_7', 'polygon_16', 'polygon_19', 'polygon_9', 'polygon_4', 'polygon_18', 'polygon_3', 'polygon_15', 'polygon_8', 'polygon_8', 'polygon_2', 'polygon_14']",124.0819118381005,124.0819118381005,002,2023-03-10_16h04.22.751,foraging_expt_polygons_hard_A,2022.2.4,60.00430903942695,
3,-0.1,0.2,0.3,-0.4,-0.1,-0.4,0.2,-0.4,-0.3,0.4,-0.2,-0.4,0,0,-0.3,-0.4,0,-0.2,0.3,0,0.2,0.4,0,-0.4,-0.4,0.2,-0.1,-0.2,0.1,0.4,-0.4,-0.2,0.1,-0.2,0.1,0,0,0.4,0,0.2,0.3,-0.2,0.2,0.2,0.1,-0.4,-0.2,0.2,0.2,-0.2,-0.4,-0.4,-0.4,0,-0.2,0.4,-0.2,-0.2,-0.3,0.2,-0.4,0.4,0.2,0,-0.3,-0.2,-0.1,0,0.3,0.2,-0.2,0,0.1,0.2,0.3,0.4,-0.1,0.4,-0.3,0,0,5,5,2,,,,,,,,,,,,,,,,,,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,126.09852118023264,0.040517083632948925,[-0.10404453  0.21262138],[ 0.29002764 -0.42456751],[-0.10683761 -0.42721025],[ 0.21134459 -0.44654753],[-0.29655294  0.42575059],[-0.20410261 -0.37772506],[-0.01145329  0.03946876],[-0.30757709 -0.42556522],[-0.01342343 -0.15726345],[ 0.31888141 -0.04339893],[0.1886153  0.41404245],[ 0.01401489 -0.43211902],[-0.40754754  0.24566325],[-0.08247014 -0.15772423],[0.09928881 0.37300648],[-0.41122848 -0.1535628 ],[ 0.10024663 -0.16110487],[ 0.09956051 -0.03723354],[0.00539337 0.38869834],[0.00132852 0.1964455 ],[ 0.31647634 -0.17097749],[0.21028202 0.23235718],[ 0.10809326 -0.40694928],[-0.20068076  0.20322112],[ 0.20065192 -0.16096101],[-0.38119386 -0.35085254],[-0.38703227  0.01842066],[-0.19713038  0.38619855],[-0.21055977 -0.24516186],[-0.29512391  0.17494238],[-0.39587016  0.38311829],[ 0.19216506 -0.04273718],[-0.29400985 -0.16233726],[-0.08378004  0.0278201 ],[0.29159526 0.21006128],[-0.19810265  0.02742161],[0.11281654 0.1511265 ],[0.30737696 0.44118674],[-0.11063629  0.37249456],[-0.28700085 -0.02646288],"[-0.2953703703703704, 0.001851851851851852, 0.09259259259259259, 0.17777777777777778, 0.008333333333333333, -0.42314814814814816, -0.08518518518518518]","[0.41574074074074074, 0.38796296296296295, 0.3685185185185185, 0.40555555555555556, 0.2074074074074074, 0.23981481481481481, 0.025925925925925925]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[1.5992827196805592, 2.5681372736071353, 3.1176766992357443, 3.7863374805110652, 6.433972020899091, 7.879006119657788, 11.831854072876013]","['polygon_5', 'polygon_19', 'polygon_15', 'polygon_11', 'polygon_20', 'polygon_13', 'polygon_34']",137.92985183558267,137.92985183558267,002,2023-03-10_16h04.22.751,foraging_expt_polygons_hard_A,2022.2.4,60.00430903942695,
