trialNo,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,mouse_2.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,polygon_5.started,polygon_6.started,polygon_7.started,polygon_8.started,polygon_9.started,polygon_10.started,polygon_11.started,polygon_12.started,polygon_13.started,polygon_14.started,polygon_15.started,polygon_16.started,polygon_17.started,polygon_18.started,polygon_19.started,polygon_20.started,polygon_21.started,polygon_22.started,polygon_23.started,polygon_24.started,polygon_25.started,polygon_26.started,polygon_27.started,polygon_28.started,polygon_29.started,polygon_30.started,polygon_31.started,polygon_32.started,polygon_33.started,polygon_34.started,polygon_35.started,polygon_36.started,polygon_37.started,polygon_38.started,polygon_39.started,polygon_40.started,mouse.started,points_text.started,key_resp.started,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.075761000000057,3.0199999855540227e-05,[-0.14699074074074073],[-0.0023148148148148147],[1],[0],[0],[4.194263299999875],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2023-02-16_18h45.34.099,foraging_expt_polygons_easy_B,2022.2.4,59.21686875404825,
17,-0.4,0,0.2,0.2,-0.2,0,-0.1,0.2,-0.1,-0.4,-0.2,-0.4,0.3,0.4,-0.3,0.2,0.2,-0.2,0.3,0.2,0.1,-0.4,-0.4,-0.2,-0.2,-0.2,-0.3,-0.2,0,0.2,0.1,-0.2,-0.3,-0.4,-0.4,0.2,0,-0.4,0,0,0.3,-0.4,-0.4,-0.4,0.1,0.2,-0.3,0.4,-0.4,0.4,-0.1,0,-0.3,0,0.2,0.4,0.3,-0.2,0.1,0,-0.2,0.2,-0.2,0.4,0.3,0,-0.1,-0.2,0.2,0,0.1,0.4,0,-0.2,-0.1,0.4,0.2,-0.4,0,0.4,0,0,0,16,,,,,,,,,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,19.367041399999835,0.07630860000017492,19.367041399999835,19.367041399999835,[-0.40993433  0.01356702],[0.18411809 0.22574551],[-0.21537139 -0.01140149],[-0.09763107  0.19823022],[-0.10356667 -0.43516106],[-0.20669992 -0.39420758],[0.31936702 0.4151798 ],[-0.30898021  0.15044515],[ 0.20200429 -0.22439519],[0.28913196 0.20828673],[ 0.0952175  -0.38577242],[-0.41920573 -0.18268083],[-0.19757506 -0.15262788],[-0.28649464 -0.22852533],[-0.00527579  0.2475738 ],[ 0.11652783 -0.15649072],[-0.30933146 -0.39468415],[-0.4150538   0.16347298],[ 0.01741468 -0.44171865],[0.0043347  0.04542918],[ 0.28256221 -0.3519907 ],[-0.38509431 -0.39924173],[0.10366501 0.23975887],[-0.28878905  0.41220658],[-0.39539333  0.43166418],[-0.10049131 -0.03572122],[-0.284331    0.03858169],[0.19040847 0.42689591],[ 0.28091153 -0.23656349],[ 0.11891443 -0.00081713],[-0.18399981  0.18035211],[-0.21145177  0.40556423],[0.31593949 0.01809506],[-0.09835739 -0.20097187],[0.20836351 0.00955615],[0.1113071  0.38949051],[-0.00435195 -0.24184091],[-0.10208059  0.41752139],[ 0.19279446 -0.37780615],[0.01275069 0.43436081],"[-0.14699074074074073, 0.3194444444444444, 0.28587962962962965, 0.1701388888888889, -0.019675925925925927, -0.10069444444444445, -0.30439814814814814, -0.4097222222222222, -0.4039351851851852, -0.20717592592592593, 0.004629629629629629, 0.12268518518518519, 0.21875, 0.20023148148148148, -0.2013888888888889, -0.19444444444444445, -0.28125, -0.4050925925925926, -0.3136574074074074, -0.2152777777777778, -0.09143518518518519, 0.023148148148148147, 0.09143518518518519]","[-0.0023148148148148147, 0.4039351851851852, 0.22337962962962962, 0.23148148148148148, 0.2511574074074074, 0.2037037037037037, 0.14583333333333334, 0.1574074074074074, 0.013888888888888888, -0.005787037037037037, 0.04513888888888889, -0.1597222222222222, -0.2349537037037037, -0.21412037037037038, -0.12962962962962962, -0.15046296296296297, -0.2361111111111111, -0.18518518518518517, -0.3854166666666667, -0.3773148148148148, -0.4201388888888889, -0.43171296296296297, -0.39814814814814814]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0022096999996392697, 1.9816932999997334, 2.48312229999965, 3.029620199999954, 3.6801202999999987, 4.193837699999676, 5.027009799999632, 5.443993699999737, 6.241786899999624, 6.6429871999998795, 7.158139399999982, 7.77593909999996, 8.390222899999571, 8.840946599999825, 9.671326099999987, 10.00471219999963, 10.653265699999793, 11.221069399999578, 11.91825899999958, 12.533877199999552, 13.316238999999769, 13.763660099999925, 14.183420699999715]","['polygon_7', 'polygon_10', 'polygon_2', 'polygon_15', 'polygon_4', 'polygon_8', 'polygon_18', 'polygon', 'polygon_3', 'polygon_20', 'polygon_16', 'polygon_9', 'polygon_13', 'polygon_14', 'polygon_12', 'polygon_17', 'polygon_5', 'polygon_19', 'polygon_11']",None,999,001,2023-02-16_18h45.34.099,foraging_expt_polygons_easy_B,2022.2.4,59.21686875404825,
4,-0.3,0.4,-0.1,-0.4,-0.3,-0.2,-0.1,-0.2,-0.2,0.2,0.2,0,-0.4,0.2,-0.3,-0.4,0.2,-0.2,0,-0.4,0.1,0,0.3,-0.4,0.3,0.4,0.1,-0.4,-0.4,-0.4,-0.3,0,0.2,-0.4,-0.2,-0.2,0.3,0,-0.4,0.4,-0.2,0.4,-0.1,0.4,0.1,-0.2,0,-0.2,0.3,-0.2,0.1,0.4,-0.2,-0.4,0.2,0.4,0.2,0.2,-0.4,0,0.1,0.2,0,0.2,0.3,0.2,-0.2,0,-0.4,-0.2,0,0.4,-0.1,0,-0.1,0.2,0,0,-0.3,0.2,0,1,1,3,,,,,,,,,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,39.29009469999983,0.01275770000029297,39.29009469999983,39.29009469999983,[-0.30935981  0.4498235 ],[-0.09428568 -0.3669212 ],[-0.30309255 -0.19969276],[-0.08604108 -0.15137425],[-0.1912895   0.22080656],[ 0.21217609 -0.02625514],[-0.41791873  0.20870946],[-0.28048699 -0.40608684],[ 0.21739978 -0.21651919],[ 0.01278999 -0.38214217],[ 0.1114402  -0.03545149],[ 0.28430173 -0.41483716],[0.3141197  0.38906427],[ 0.08965273 -0.36092756],[-0.4079047  -0.40598261],[-0.28566719 -0.04030553],[ 0.2053245  -0.35920288],[-0.19266652 -0.2065776 ],[ 0.30286947 -0.00486934],[-0.38602017  0.42684663],[-0.20948003  0.41145642],[-0.10192838  0.40008211],[ 0.10649557 -0.21485442],[-0.00716455 -0.20532187],[ 0.31204632 -0.17167377],[0.08896251 0.41146246],[-0.20192434 -0.38731445],[0.19491131 0.35722087],[0.20899493 0.19097716],[-0.39884955 -0.03121242],[0.10865109 0.17223367],[0.01354443 0.16703491],[0.28964622 0.18082271],[-0.19842287 -0.00477375],[-0.40764114 -0.17762074],[-0.01127221  0.3844758 ],[-0.1080684  -0.04516139],[-0.10877292  0.2009147 ],[-0.01709563  0.02335274],[-0.28002401  0.22272314],"[-0.38425925925925924, -0.3275462962962963, 0.29976851851851855, 0.29976851851851855, 0.3020833333333333, -0.19791666666666666, -0.40625, -0.27314814814814814, 0.11574074074074074, 0.22916666666666666, 0.3055555555555556, 0.22453703703703703, -0.0787037037037037, -0.20949074074074073, -0.3055555555555556, -0.43171296296296297, -0.26851851851851855, -0.09490740740740741, 0.017361111111111112, 0.08449074074074074, 0.2025462962962963, 0.2881944444444444]","[0.4375, 0.4513888888888889, 0.36921296296296297, 0.3761574074074074, 0.38310185185185186, 0.2175925925925926, 0.21296296296296297, -0.04976851851851852, -0.04050925925925926, -0.02546296296296296, -0.003472222222222222, -0.22916666666666666, -0.15625, -0.21296296296296297, -0.2048611111111111, -0.4039351851851852, -0.39699074074074076, -0.36689814814814814, -0.37037037037037035, -0.36689814814814814, -0.35648148148148145, -0.41550925925925924]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.8934720000002017, 1.257860200000323, 2.2562518000004275, 2.6725765000001047, 3.1431657000002815, 4.0881711000001815, 4.6719967000003635, 5.253476200000023, 6.251716200000374, 6.651774000000387, 7.035853300000326, 7.666925100000299, 8.449894200000017, 8.864588200000071, 9.482317000000421, 10.012219000000186, 10.680812600000081, 11.394351200000074, 11.795108600000276, 12.260368400000061, 12.659764400000313, 13.241798400000334]","['polygon_20', 'polygon', 'polygon_13', 'polygon_5', 'polygon_7', 'polygon_16', 'polygon_11', 'polygon_6', 'polygon_19', 'polygon_9', 'polygon_4', 'polygon_18', 'polygon_3', 'polygon_8', 'polygon_2', 'polygon_10', 'polygon_14', 'polygon_17', 'polygon_12']",None,999,001,2023-02-16_18h45.34.099,foraging_expt_polygons_easy_B,2022.2.4,59.21686875404825,
6,-0.2,0.4,0.3,0.4,-0.1,-0.2,-0.2,0.2,-0.1,-0.4,0.1,0.4,0.3,0,-0.4,-0.4,0.2,-0.4,-0.3,-0.4,0.1,0,-0.3,0.2,-0.2,0,0.3,0.2,0.1,-0.4,-0.2,-0.2,0.2,0.2,-0.2,-0.4,-0.4,0.4,0.3,-0.4,0,0.4,0.2,0,0.3,-0.2,-0.1,0.2,0,0.2,-0.3,-0.2,0,-0.2,0,-0.4,0,0,0.2,-0.2,-0.4,-0.2,0.1,0.2,-0.4,0,-0.3,0.4,-0.4,0.2,0.2,0.4,0.1,-0.2,-0.3,0,-0.1,0.4,-0.1,0,0,2,2,5,,,,,,,,,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,59.29656239999986,0.019603400000050897,59.29656239999986,59.29656239999986,[-0.18916535  0.42386763],[0.29899951 0.42318988],[-0.09840994 -0.23618377],[-0.200392    0.17292489],[-0.09754452 -0.38125565],[0.09199961 0.43395105],[0.30942443 0.04674351],[-0.41938674 -0.42006376],[ 0.19696668 -0.38466213],[-0.30313926 -0.44894852],[ 0.10936259 -0.03768892],[-0.31861118  0.1528546 ],[-0.20999123 -0.01782126],[0.28496243 0.24857735],[ 0.11114854 -0.36989474],[-0.20087059 -0.16677925],[0.18706545 0.2192306 ],[-0.21003744 -0.3691278 ],[-0.4076598   0.35173459],[ 0.31038583 -0.42974191],[0.01672735 0.39610643],[ 0.20147764 -0.01040649],[ 0.30540741 -0.20475615],[-0.10378082  0.21433743],[-0.01375659  0.17897618],[-0.30612113 -0.1567854 ],[-0.00355307 -0.19809195],[ 0.00216467 -0.413879  ],[ 0.00727488 -0.04347442],[ 0.20990066 -0.21866069],[-0.41258759 -0.17294641],[0.10102397 0.16888278],[-0.40600216  0.00440458],[-0.29167689  0.3715198 ],[-0.40041898  0.16145368],[0.19800665 0.38339104],[ 0.11175599 -0.18242539],[-0.30976898 -0.02908565],[-0.11488407  0.42339153],[-0.10028455  0.0238392 ],"[-0.40046296296296297, -0.2025462962962963, 0.08796296296296297, 0.29050925925925924, 0.27662037037037035, 0.19560185185185186, -0.19791666666666666, -0.32175925925925924, -0.21180555555555555, 0.30671296296296297, 0.0763888888888889, 0.11574074074074074, -0.20949074074074073, -0.10185185185185185, -0.42824074074074076, -0.30787037037037035, -0.20023148148148148, -0.10185185185185185, 0.10416666666666667, 0.1875, 0.29398148148148145, 0.3055555555555556]","[0.35648148148148145, 0.41550925925925924, 0.42824074074074076, 0.43287037037037035, 0.23958333333333334, 0.2199074074074074, 0.1875, 0.1597222222222222, -0.016203703703703703, 0.05555555555555555, -0.03009259259259259, -0.03125, -0.1724537037037037, -0.2326388888888889, -0.41550925925925924, -0.4444444444444444, -0.3726851851851852, -0.37962962962962965, -0.36574074074074076, -0.3715277777777778, -0.41898148148148145, -0.41898148148148145]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.5239996999998766, 2.3227428999998665, 2.838468599999942, 3.4206923000001552, 4.02007760000015, 4.587732299999971, 5.185516000000007, 5.667866799999956, 6.251498399999946, 7.032352700000047, 7.498797000000195, 7.849632400000246, 8.528254299999844, 9.162941399999909, 9.8796198, 10.444339799999852, 11.17683769999985, 11.726199700000052, 12.22462059999998, 12.676177499999994, 13.224638400000003, 13.691933900000095]","['polygon_19', 'polygon', 'polygon_6', 'polygon_2', 'polygon_14', 'polygon_17', 'polygon_4', 'polygon_12', 'polygon_13', 'polygon_7', 'polygon_11', 'polygon_16', 'polygon_3', 'polygon_8', 'polygon_10', 'polygon_18', 'polygon_5', 'polygon_15', 'polygon_9', 'polygon_20']",None,999,001,2023-02-16_18h45.34.099,foraging_expt_polygons_easy_B,2022.2.4,59.21686875404825,
25,-0.2,0.4,0,0.4,0.2,-0.2,0.3,-0.4,-0.3,0.4,-0.3,-0.4,0.1,-0.2,0.3,0,-0.1,-0.2,-0.2,0,0.3,0.4,0,0,0,0.2,-0.2,-0.2,-0.1,-0.4,0.1,0.4,0.2,0.2,-0.4,0.2,-0.1,0.4,-0.4,-0.4,0.3,-0.2,-0.4,0,-0.3,-0.2,0.1,-0.4,0,-0.4,-0.1,0,0.1,0,-0.1,0.2,-0.2,0.2,0.2,-0.4,-0.3,0.2,0.3,0.2,0,-0.2,0.2,0,-0.4,0.4,0.2,0.4,-0.2,-0.4,-0.4,-0.2,0.1,0.2,-0.3,0,0,3,3,24,,,,,,,,,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,79.30263909999985,0.024329599999873608,79.30263909999985,79.30263909999985,[-0.19535937  0.41392075],[-0.01404693  0.43124713],[ 0.20314798 -0.23311106],[ 0.292472   -0.42253795],[-0.31077238  0.41005445],[-0.2868688 -0.361969 ],[ 0.1027944  -0.20292223],[0.28214339 0.02441012],[-0.09249546 -0.16122202],[-0.21037494 -0.00305166],[0.29694608 0.39465272],[0.01661849 0.0263877 ],[0.01950418 0.17092421],[-0.1914909  -0.15205313],[-0.08932007 -0.36418427],[0.08625548 0.37266409],[0.20952177 0.19723898],[-0.40878537  0.20727686],[-0.1002286   0.41475398],[-0.39139991 -0.419226  ],[ 0.29822328 -0.22126809],[-0.39038679 -0.02811766],[-0.28216659 -0.20153957],[ 0.1051843  -0.38157922],[ 0.00774642 -0.3519512 ],[-0.09468151 -0.01291055],[0.08731181 0.01606086],[-0.10990492  0.24829124],[-0.18804975  0.20177925],[ 0.21325045 -0.40491899],[-0.29423178  0.17803378],[0.29035045 0.23340332],[ 0.00272339 -0.17096475],[ 0.18634029 -0.01915023],[-0.41678125  0.4059706 ],[0.19384505 0.4057712 ],[-0.20975187 -0.42281407],[-0.40825636 -0.189714  ],[0.11469338 0.23142418],[-0.29158666 -0.00555045],"[-0.3101851851851852, -0.18518518518518517, -0.1087962962962963, -0.027777777777777776, 0.06828703703703703, 0.0787037037037037, 0.3020833333333333, 0.20717592592592593, 0.011574074074074073, -0.41782407407407407, -0.21875, 0.004629629629629629, 0.2708333333333333, -0.19444444444444445, -0.08680555555555555, 0.11689814814814815, 0.1909722222222222, -0.39699074074074076, -0.27662037037037035, -0.09606481481481481, 0.28703703703703703]","[0.41435185185185186, 0.41550925925925924, 0.41550925925925924, 0.4212962962962963, 0.38078703703703703, 0.3645833333333333, 0.39351851851851855, 0.18981481481481483, 0.16666666666666666, 0.21412037037037038, -0.013888888888888888, 0.034722222222222224, 0.02546296296296296, -0.15625, -0.1527777777777778, -0.2037037037037037, -0.22916666666666666, -0.41435185185185186, -0.3715277777777778, -0.3587962962962963, -0.41898148148148145]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.343461599999955, 1.9088982999996915, 2.2761501999998472, 2.8917406000000483, 3.3852020999997876, 4.338279799999782, 5.137328999999681, 5.8692754999997305, 6.43588439999985, 7.4171856999996635, 8.000577899999826, 8.667016099999728, 9.43092039999965, 10.229035199999998, 10.63083719999986, 11.077818399999614, 11.612431300000026, 12.628861499999857, 13.012328199999956, 13.575791399999616, 14.640566699999908]","['polygon_5', 'polygon', 'polygon_19', 'polygon_2', 'polygon_16', 'polygon_11', 'polygon_17', 'polygon_13', 'polygon_18', 'polygon_10', 'polygon_12', 'polygon_8', 'polygon_14', 'polygon_9', 'polygon_7', 'polygon_3', 'polygon_20', 'polygon_6', 'polygon_15', 'polygon_4']",None,999,001,2023-02-16_18h45.34.099,foraging_expt_polygons_easy_B,2022.2.4,59.21686875404825,
16,-0.1,-0.2,-0.4,0.2,0.2,0,0.3,0,-0.1,0,0.2,-0.4,0,0.4,0.3,-0.4,-0.3,0.4,-0.4,0,0,0.2,0.2,0.4,-0.4,-0.4,0.3,0.4,0.3,-0.2,0.2,0.2,-0.2,0,0.1,-0.2,0.1,0.4,-0.2,-0.4,0.3,0.2,-0.3,-0.4,0.1,0.2,0.1,0,-0.2,0.4,-0.2,0.2,-0.4,-0.2,-0.1,0.4,-0.2,-0.2,0.2,-0.2,0,0,-0.1,-0.4,-0.1,0.2,-0.3,0.2,-0.3,0,-0.3,-0.2,-0.4,0.4,0,-0.4,0,-0.2,0.1,-0.4,0,4,4,15,,,,,,,,,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,99.29200309999987,0.016211999999995896,99.29200309999987,99.29200309999987,[-0.0998579  -0.17967382],[-0.40585661  0.22915531],[ 0.19355991 -0.03432054],[0.28470308 0.04782538],[-0.105376   -0.01088252],[ 0.20494098 -0.36903917],[0.01069129 0.43358248],[ 0.29009789 -0.41576283],[-0.30822354  0.40450373],[-0.38547589  0.04756138],[0.01694179 0.19211117],[0.19883803 0.38585812],[-0.40768307 -0.41570399],[0.30809245 0.44273639],[ 0.29380796 -0.17800962],[0.1825544  0.20505856],[-0.21672654  0.01385467],[ 0.10763206 -0.1820964 ],[0.11872795 0.40388556],[-0.18346747 -0.43305312],[0.30796837 0.24097092],[-0.30088477 -0.40051645],[0.1116777  0.20518174],[0.10750759 0.00814544],[-0.19007703  0.44828164],[-0.2081128  0.2079425],[-0.39564447 -0.19588678],[-0.10194525  0.41688136],[-0.21190784 -0.23245625],[ 0.21368583 -0.24287005],[ 0.01273006 -0.03955695],[-0.0893493  -0.35589611],[-0.11591841  0.2209763 ],[-0.31492223  0.21083351],[-0.3029913  -0.03021094],[-0.28200382 -0.17682574],[-0.38353969  0.42854306],[-0.00648793 -0.4436975 ],[ 0.00484522 -0.1730287 ],[ 0.08257228 -0.36881792],"[-0.3194444444444444, 0.0011574074074074073, 0.11574074074074074, 0.1863425925925926, 0.2962962962962963, 0.19212962962962962, 0.18518518518518517, -0.008101851851851851, 0.019675925925925927, -0.42939814814814814, -0.4212962962962963, -0.39699074074074076, -0.2152777777777778, -0.11805555555555555, 0.19791666666666666, 0.2800925925925926, 0.3101851851851852, 0.11226851851851852, -0.09837962962962964, -0.4212962962962963, -0.19560185185185186, 0.18981481481481483, 0.2847222222222222]","[0.4085648148148148, 0.4305555555555556, 0.39467592592592593, 0.3773148148148148, 0.4513888888888889, 0.18171296296296297, 0.20601851851851852, 0.1886574074074074, 0.19328703703703703, 0.23148148148148148, 0.23148148148148148, 0.059027777777777776, 0.01273148148148148, -0.006944444444444444, -0.03587962962962963, 0.05787037037037037, -0.18171296296296297, -0.18981481481481483, -0.18171296296296297, -0.42476851851851855, -0.43171296296296297, -0.36226851851851855, -0.41550925925925924]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.8421063000000686, 1.7050332000003436, 2.123816000000261, 2.5069133000001784, 3.1376626999999644, 3.8693442000003415, 4.201615899999979, 4.652332000000115, 5.002000299999963, 5.949911600000178, 6.267737200000283, 6.815688300000147, 7.5811610000000655, 8.097682099999929, 8.946425099999942, 9.412652900000012, 10.14580530000012, 10.795783000000029, 11.464438200000131, 12.207163600000058, 12.80821670000023, 13.506341600000269, 14.239207800000258]","['polygon_9', 'polygon_7', 'polygon_19', 'polygon_12', 'polygon_14', 'polygon_16', 'polygon_11', 'polygon_2', 'polygon_10', 'polygon_17', 'polygon_5', 'polygon_3', 'polygon_4', 'polygon_15', 'polygon_18', 'polygon', 'polygon_13', 'polygon_20', 'polygon_6', 'polygon_8']",None,999,001,2023-02-16_18h45.34.099,foraging_expt_polygons_easy_B,2022.2.4,59.21686875404825,
