trialNo,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,mouse_2.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,polygon_5.started,polygon_6.started,polygon_7.started,polygon_8.started,polygon_9.started,polygon_10.started,polygon_11.started,polygon_12.started,polygon_13.started,polygon_14.started,polygon_15.started,polygon_16.started,polygon_17.started,polygon_18.started,polygon_19.started,polygon_20.started,polygon_21.started,polygon_22.started,polygon_23.started,polygon_24.started,polygon_25.started,polygon_26.started,polygon_27.started,polygon_28.started,polygon_29.started,polygon_30.started,polygon_31.started,polygon_32.started,polygon_33.started,polygon_34.started,polygon_35.started,polygon_36.started,polygon_37.started,polygon_38.started,polygon_39.started,polygon_40.started,mouse.started,points_text.started,key_resp.started,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,key_resp.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.484584300000279,3.2699999792384915e-05,[-0.17824074074074073],[0.04398148148148148],[1],[0],[0],[3.729630300000281],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2023-02-16_18h42.57.614,foraging_expt_polygons_easy_A,2022.2.4,60.07972579612826,
1,0.1,0.4,-0.3,-0.2,0,0.2,-0.4,0.2,0.3,-0.4,-0.2,0.4,0.1,-0.2,-0.4,0.4,-0.4,0,0,-0.4,0,0.4,0.3,-0.2,0.2,-0.2,-0.2,-0.2,-0.1,-0.4,0.3,0.4,-0.3,0.2,-0.2,-0.4,0,-0.2,-0.4,-0.4,0.2,0,0.2,0.4,-0.1,0,0.3,0,-0.4,-0.2,-0.1,0.2,0.2,0.2,-0.1,-0.2,0.3,0.2,-0.1,0.4,0.1,0.2,-0.2,0,-0.2,0.2,0.1,-0.4,-0.3,-0.4,0.2,-0.4,0,0,-0.3,0,0.1,0,-0.3,0.4,0,0,0,0,,,,,,,,,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,18.293551000000207,0.07023430000026565,18.293551000000207,18.293551000000207,[0.11568482 0.39463578],[-0.30894952 -0.20972392],[-0.00896832  0.1910542 ],[-0.38792342  0.21695589],[ 0.30277384 -0.43553848],[-0.18893587  0.43904245],[ 0.08061883 -0.20294488],[-0.40500184  0.36592696],[-0.38728568 -0.02595572],[-0.00146601 -0.44266231],[-0.00310746  0.38381348],[ 0.31970614 -0.23175026],[ 0.18772081 -0.17375771],[-0.19056439 -0.18216236],[-0.11654282 -0.36069111],[0.3151868  0.43311136],[-0.29879382  0.24499138],[-0.19526711 -0.39227658],[ 0.00781467 -0.18553502],[-0.38833293 -0.43489707],[0.20258356 0.03818881],[0.19229443 0.38590658],[-0.11213147 -0.00364241],[0.31648697 0.03656823],[-0.40946809 -0.17286613],[-0.09180707  0.17947229],[0.19092821 0.1781603 ],[-0.09998989 -0.2352009 ],[0.31896274 0.16980731],[-0.11938605  0.35873596],[0.1011929  0.18738465],[-0.19919947 -0.02636639],[-0.21318347  0.18902215],[ 0.10670368 -0.36642909],[-0.31897002 -0.37972771],[ 0.20842366 -0.38120022],[-0.01777898 -0.03003379],[-0.31658028 -0.01166374],[0.10629647 0.04507493],[-0.28207185  0.35203667],"[-0.17824074074074073, -0.3993055555555556, -0.18981481481481483, -0.005787037037037037, 0.11342592592592593, 0.3125, -0.011574074074074073, -0.3148148148148148, -0.38425925925925924, -0.3784722222222222, 0.3229166666666667, 0.19444444444444445, 0.08217592592592593, 0.017361111111111112, -0.1840277777777778, -0.31712962962962965, -0.3923611111111111, -0.2048611111111111, -0.12037037037037036, 0.0011574074074074073, 0.3125]","[0.04398148148148148, 0.36921296296296297, 0.43287037037037035, 0.3784722222222222, 0.40046296296296297, 0.4224537037037037, 0.1886574074074074, 0.23958333333333334, 0.20949074074074073, -0.017361111111111112, -0.2222222222222222, -0.16782407407407407, -0.2037037037037037, -0.1712962962962963, -0.1712962962962963, -0.20833333333333334, -0.4340277777777778, -0.3819444444444444, -0.36226851851851855, -0.4398148148148148, -0.42939814814814814]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0017817000002651184, 1.0417668000000049, 1.658951800000068, 2.2732944000003954, 2.7907818000003317, 3.3081286999999975, 4.889900200000284, 5.837156200000209, 6.2870318000000225, 7.085012200000165, 9.065066800000295, 9.59960620000038, 10.066066800000044, 10.764708100000007, 11.362281600000188, 12.113174500000241, 12.795946400000048, 13.311996100000215, 13.741164400000343, 14.2594524000001, 14.87632450000001]","['polygon_8', 'polygon_6', 'polygon_11', 'polygon', 'polygon_16', 'polygon_3', 'polygon_17', 'polygon_4', 'polygon_9', 'polygon_12', 'polygon_13', 'polygon_7', 'polygon_19', 'polygon_14', 'polygon_2', 'polygon_20', 'polygon_18', 'polygon_15', 'polygon_10', 'polygon_5']",None,999,001,2023-02-16_18h42.57.614,foraging_expt_polygons_easy_A,2022.2.4,60.07972579612826,
27,-0.2,-0.2,0,0.4,-0.1,0.4,-0.3,0.4,0.1,-0.4,0.3,0.2,0.3,0.4,-0.1,-0.2,-0.4,-0.2,-0.2,0.4,0.2,0.4,0.2,-0.2,-0.3,0.2,-0.4,0,-0.4,-0.4,0.1,-0.2,-0.4,0.2,-0.3,-0.4,0,-0.2,0.1,0.2,0.3,0,-0.3,0,-0.2,0.2,-0.1,0.2,-0.1,0,-0.1,-0.4,0.2,-0.4,-0.2,-0.4,0.3,-0.2,0,0,0,0.2,-0.2,0,0.1,0,0.3,-0.4,-0.4,0.4,0.2,0,0.1,0.4,-0.3,-0.2,0.2,0.2,0,-0.4,0,1,1,26,,,,,,,,,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,38.232922800000324,0.016712699999970937,38.232922800000324,38.232922800000324,[-0.21080636 -0.15878411],[0.00065946 0.37399095],[-0.0944265   0.37231623],[-0.31599997  0.39638309],[ 0.08630854 -0.38936674],[0.30172422 0.24966815],[0.28451339 0.36875998],[-0.08753672 -0.19415299],[-0.38503483 -0.19816934],[-0.2161784   0.35519695],[0.18632903 0.43802962],[ 0.19137947 -0.15537459],[-0.30936209  0.24533997],[-0.38228    -0.01765994],[-0.4148062  -0.35918369],[ 0.0839862  -0.18255519],[-0.38362112  0.23523265],[-0.30883613 -0.4217089 ],[ 0.01817381 -0.17059567],[0.09450978 0.15533562],[0.30314735 0.0106151 ],[-0.28238244 -0.00603919],[-0.20635198  0.19320783],[-0.09524704  0.20002271],[-0.09582504  0.04191775],[-0.09106537 -0.36245394],[ 0.1989559  -0.40942018],[-0.18191744 -0.37076456],[ 0.28199068 -0.22566096],[0.01072887 0.01193667],[-0.00053593  0.19398428],[-0.18426628  0.04503515],[0.08742064 0.01629537],[ 0.3122445 -0.4089773],[-0.40040685  0.39005564],[ 0.20928011 -0.01751222],[0.08969224 0.35893551],[-0.29785059 -0.20609777],[0.19114712 0.16044897],[-0.00410094 -0.388046  ],"[-0.3287037037037037, -0.21180555555555555, -0.09837962962962964, 0.008101851851851851, 0.1863425925925926, 0.2847222222222222, 0.32060185185185186, 0.30671296296296297, 0.0787037037037037, 0.0798611111111111, -0.3113425925925926, -0.375, -0.375, -0.38657407407407407, -0.4305555555555556, -0.3113425925925926, -0.2013888888888889, -0.09953703703703703, -0.004629629629629629, 0.03935185185185185, 0.017361111111111112, 0.09490740740740741, 0.1863425925925926, 0.09143518518518519, 0.034722222222222224, 0.01273148148148148, 0.01273148148148148, 0.48726851851851855, 0.06597222222222222, -0.4930555555555556]","[0.3900462962962963, 0.35300925925925924, 0.375, 0.3738425925925926, 0.4548611111111111, 0.36574074074074076, 0.23726851851851852, 0.2465277777777778, 0.14467592592592593, 0.16203703703703703, 0.2465277777777778, 0.2337962962962963, -0.028935185185185185, -0.20833333333333334, -0.36574074074074076, -0.41898148148148145, -0.14351851851851852, -0.17824074074074073, -0.17939814814814814, -0.1724537037037037, -0.17476851851851852, -0.17939814814814814, -0.15046296296296297, -0.37962962962962965, -0.1724537037037037, -0.13657407407407407, -0.13657407407407407, -0.09259259259259259, -0.15046296296296297, -0.10069444444444445]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.5413484999999127, 1.9748771999998098, 2.5738445000001775, 3.172012200000154, 3.621944099999837, 4.154597499999909, 4.720237200000156, 5.237058199999865, 5.951268700000128, 6.28481580000016, 7.001691999999821, 7.484323499999846, 8.148327899999913, 8.764701499999774, 9.332166400000006, 9.896474699999999, 10.479215199999999, 11.079210800000055, 11.677886299999955, 12.02835159999995, 12.409654600000067, 12.727746600000046, 13.158576799999992, 13.824999800000114, 14.29221920000009, 15.15553409999984, 15.55657519999977, 16.337287899999865, 16.802459500000168, 17.320212699999956]","['polygon_4', 'polygon_10', 'polygon_3', 'polygon_2', 'polygon_11', 'polygon_7', 'polygon_6', 'polygon_20', 'polygon_13', 'polygon_17', 'polygon_14', 'polygon_9', 'polygon_15', 'polygon_18', 'polygon', 'polygon_19', 'polygon_16', 'polygon_12', 'polygon_5', 'polygon_19']",None,999,001,2023-02-16_18h42.57.614,foraging_expt_polygons_easy_A,2022.2.4,60.07972579612826,
26,-0.3,0.2,0,0.2,-0.4,-0.2,0.1,-0.4,-0.2,-0.2,0.1,0.4,0,0.4,-0.4,0.4,0,0,-0.4,0,0.1,-0.2,0.2,0.2,0,-0.2,-0.3,-0.4,0,-0.4,0.1,0.2,0.3,0.4,0.2,0,-0.1,0,-0.1,-0.2,-0.1,-0.4,-0.2,0.2,0.3,0.2,0.1,0,-0.2,-0.4,0.3,-0.2,-0.1,0.2,-0.2,0.4,0.3,-0.4,0.2,-0.2,-0.3,-0.2,-0.4,0.2,-0.1,0.4,-0.4,-0.4,-0.3,0.4,0.3,0,0.2,0.4,-0.2,0,-0.3,0,0.2,-0.4,0,2,2,25,,,,,,,,,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,58.239148800000294,0.022985200000221084,58.239148800000294,58.239148800000294,[-0.31100163  0.19639673],[-0.00420103  0.18993413],[-0.41388656 -0.17195111],[ 0.08426615 -0.43615595],[-0.18029726 -0.23986699],[0.11401943 0.41478386],[0.00772518 0.44674094],[-0.3973056   0.44663993],[0.01607679 0.02608487],[-0.3878559   0.04447274],[ 0.09358078 -0.23863365],[0.21181099 0.22380569],[-0.00532919 -0.19313023],[-0.28094258 -0.3868783 ],[-0.00136452 -0.36086288],[0.11851275 0.18294629],[0.28888929 0.42787862],[0.21840597 0.01615138],[-0.0826395  -0.01877444],[-0.08407988 -0.15386231],[-0.09278298 -0.39268416],[-0.1834009   0.22488634],[0.29039759 0.19815244],[ 0.11678857 -0.0182991 ],[-0.19063033 -0.38638212],[ 0.3096742 -0.2175501],[-0.08936493  0.22281552],[-0.19212444  0.38559174],[ 0.29045051 -0.36174579],[ 0.18454455 -0.16342078],[-0.29863441 -0.21867653],[-0.40516278  0.175574  ],[-0.08924651  0.40539401],[-0.39314691 -0.42927053],[-0.29009649  0.36462282],[ 0.30841761 -0.04589862],[0.2128184  0.44007995],[-0.19768686  0.01602222],[-0.30175588 -0.026132  ],[ 0.18649395 -0.39240338],"[-0.4050925925925926, -0.004629629629629629, 0.1099537037037037, 0.29398148148148145, 0.22337962962962962, 0.13425925925925927, 0.004629629629629629, -0.3113425925925926, -0.38425925925925924, -0.0798611111111111, 0.028935185185185185, 0.2337962962962963, 0.017361111111111112, -0.4201388888888889, -0.18981481481481483, -0.08912037037037036, -0.011574074074074073, 0.0775462962962963, 0.0023148148148148147, -0.2881944444444444, 0.07523148148148148]","[0.4618055555555556, 0.44907407407407407, 0.41550925925925924, 0.42939814814814814, 0.22106481481481483, 0.17939814814814814, 0.1886574074074074, 0.19212962962962962, 0.04050925925925926, -0.02199074074074074, 0.04050925925925926, 0.011574074074074073, 0.019675925925925927, -0.17939814814814814, -0.24074074074074073, -0.14930555555555555, -0.1875, -0.24074074074074073, -0.35648148148148145, -0.40162037037037035, -0.42939814814814814]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.043166299999939, 1.6570151000000806, 2.1723541000001205, 2.7549219000002267, 3.388893199999984, 3.939407100000153, 4.570318900000075, 5.185421300000144, 5.8514766000002965, 6.401249600000028, 6.866151600000194, 7.6658384000002115, 8.348141400000259, 9.298527299999932, 9.9463796, 10.411980500000027, 10.81061120000004, 11.245103900000231, 12.127906300000177, 12.742017500000202, 13.541076500000145]","['polygon_8', 'polygon_7', 'polygon_6', 'polygon_17', 'polygon_12', 'polygon_16', 'polygon_2', 'polygon', 'polygon_10', 'polygon_19', 'polygon_18', 'polygon_9', 'polygon_3', 'polygon_5', 'polygon_20', 'polygon_13', 'polygon_11', 'polygon_15', 'polygon_14', 'polygon_4']",None,999,001,2023-02-16_18h42.57.614,foraging_expt_polygons_easy_A,2022.2.4,60.07972579612826,
14,-0.3,-0.4,-0.4,0.4,-0.2,0.4,-0.2,0,0.2,0,0.2,-0.4,0.3,-0.2,-0.3,0.2,0.2,0.2,0.1,-0.4,0.3,-0.4,0.2,0.4,-0.2,-0.4,-0.1,0.4,0.2,-0.2,0,-0.2,-0.1,0.2,0.1,0.4,-0.1,0,-0.4,0,0.3,0.2,0,-0.4,0.3,0.4,-0.2,0.2,-0.3,-0.2,-0.2,-0.2,-0.4,-0.2,0.1,-0.2,0,0.4,-0.4,0.2,0.3,0,0.1,0,-0.4,-0.4,-0.1,-0.2,-0.3,0.4,0,0.2,-0.3,0,-0.1,-0.4,0.1,0.2,0,0,0,3,3,13,,,,,,,,,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,78.22861039999998,0.011784400000124151,78.22861039999998,78.22861039999998,[-0.31404323 -0.38290856],[-0.38515521  0.36634241],[-0.18225515  0.39683541],[-0.18343028 -0.02278199],[ 0.21443975 -0.04500832],[ 0.21287543 -0.44357066],[ 0.2958894  -0.17439505],[-0.2981474   0.15752944],[0.18985161 0.16978371],[ 0.09757996 -0.38038399],[ 0.31153699 -0.35496548],[0.19115357 0.44368179],[-0.18560175 -0.37835267],[-0.09365856  0.41209631],[ 0.20861062 -0.18853667],[ 0.00553029 -0.20651724],[-0.08205369  0.18110581],[0.1090248 0.3810988],[-0.11491346  0.02734819],[-0.408822   -0.03631126],[0.30787085 0.24831648],[-0.00910446 -0.36363357],[0.2827308  0.41042912],[-0.18483008  0.17693787],[-0.31702399 -0.2062486 ],[-0.1897294  -0.18431848],[-0.3844433 -0.150974 ],[ 0.10187526 -0.1997519 ],[-0.00584848  0.38817453],[-0.4090474   0.19134218],[0.31646074 0.04005021],[0.0830346  0.04117869],[-0.40976041 -0.41795253],[-0.09474252 -0.18827897],[-0.31200912  0.36662965],[0.00388257 0.24853877],[-0.30947413  0.02462779],[-0.11092362 -0.38042372],[0.09747756 0.24293013],[-0.0191446  -0.01158427],"[-0.375, -0.18171296296296297, -0.09837962962962964, 0.11921296296296297, 0.18055555555555555, 0.2013888888888889, -0.08217592592592593, -0.2962962962962963, -0.1111111111111111, -0.1712962962962963, -0.42824074074074076, -0.42939814814814814, -0.41087962962962965, 0.2199074074074074, 0.21296296296296297, 0.29398148148148145, 0.009259259259259259, -0.3263888888888889, -0.17939814814814814, 0.12268518518518519, 0.08912037037037036, 0.20717592592592593, 0.3136574074074074]","[0.3726851851851852, 0.39699074074074076, 0.40625, 0.38078703703703703, 0.4444444444444444, 0.1724537037037037, 0.1840277777777778, 0.14583333333333334, 0.020833333333333332, -0.016203703703703703, -0.046296296296296294, -0.03587962962962963, -0.037037037037037035, -0.05555555555555555, -0.2025462962962963, -0.16898148148148148, -0.20833333333333334, -0.3923611111111111, -0.3738425925925926, -0.38310185185185186, -0.38425925925925924, -0.45023148148148145, -0.3576388888888889]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.427110999999968, 2.0250538000000233, 2.474898999999823, 2.908070399999815, 3.4906827999998313, 4.155098899999757, 4.987344000000121, 5.436480599999868, 6.117500500000006, 6.416223299999729, 6.902167599999757, 7.566727099999753, 8.250909599999886, 9.082121899999947, 9.549758499999825, 10.14785780000011, 10.978972500000054, 11.626258700000108, 12.178985999999895, 12.677546299999904, 13.1426206000001, 13.625583799999731, 14.174695899999733]","['polygon_2', 'polygon_3', 'polygon_14', 'polygon_18', 'polygon_12', 'polygon_9', 'polygon_17', 'polygon_8', 'polygon_19', 'polygon_4', 'polygon_20', 'polygon_5', 'polygon_15', 'polygon_7', 'polygon_16', 'polygon', 'polygon_13', 'polygon_10', 'polygon_6', 'polygon_11']",None,999,001,2023-02-16_18h42.57.614,foraging_expt_polygons_easy_A,2022.2.4,60.07972579612826,
6,-0.2,0.4,0.3,0.4,-0.1,-0.2,-0.2,0.2,-0.1,-0.4,0.1,0.4,0.3,0,-0.4,-0.4,0.2,-0.4,-0.3,-0.4,0.1,0,-0.3,0.2,-0.2,0,0.3,0.2,0.1,-0.4,-0.2,-0.2,0.2,0.2,-0.2,-0.4,-0.4,0.4,0.3,-0.4,0,0.4,0.2,0,0.3,-0.2,-0.1,0.2,0,0.2,-0.3,-0.2,0,-0.2,0,-0.4,0,0,0.2,-0.2,-0.4,-0.2,0.1,0.2,-0.4,0,-0.3,0.4,-0.4,0.2,0.2,0.4,0.1,-0.2,-0.3,0,-0.1,0.4,-0.1,0,0,4,4,5,,,,,,,,,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,98.23466660000031,0.01841370000011011,98.23466660000031,98.23466660000031,[-0.19248336  0.38903598],[0.28362364 0.38785358],[-0.10215216 -0.20158642],[-0.20432086  0.18006112],[-0.08156253 -0.38083077],[0.11531491 0.37800237],[0.31605697 0.04930782],[-0.40320417 -0.44169145],[ 0.20876314 -0.3641606 ],[-0.31536138 -0.40249808],[ 0.09655217 -0.02445968],[-0.29902487  0.1885454 ],[-0.19956603  0.02978705],[0.29603706 0.2324007 ],[ 0.08593846 -0.39429791],[-0.18806435 -0.21161566],[0.21692615 0.24030152],[-0.21537567 -0.3789572 ],[-0.41510896  0.4481959 ],[ 0.29822501 -0.38037252],[-0.00934085  0.42632081],[0.21739426 0.03692786],[ 0.31703033 -0.22701767],[-0.08270906  0.17041766],[0.0117063  0.15177865],[-0.28282551 -0.23630911],[ 0.01320059 -0.19209225],[-0.00211891 -0.41196049],[ 0.01612644 -0.04789861],[ 0.18003042 -0.19356729],[-0.40552954 -0.15162093],[0.08045474 0.20646005],[-0.39735749  0.04070349],[-0.31568693  0.43929288],[-0.40558614  0.15892553],[0.18267037 0.42288323],[ 0.10662356 -0.16513047],[-0.30182742  0.00040406],[-0.09487503  0.37779015],[-0.08141095 -0.04181737],"[-0.4097222222222222, -0.19560185185185186, 0.12037037037037036, 0.28125, 0.29050925925925924, 0.19791666666666666, 0.25578703703703703, 0.20833333333333334, -0.21064814814814814, -0.3090277777777778, -0.1886574074074074, 0.09953703703703703, 0.3136574074074074, -0.1111111111111111, -0.18171296296296297, -0.3993055555555556, -0.3020833333333333, -0.2048611111111111, -0.0798611111111111, 0.08680555555555555, 0.20717592592592593, 0.29398148148148145]","[0.4583333333333333, 0.3784722222222222, 0.37037037037037035, 0.38425925925925924, 0.22685185185185186, 0.24305555555555555, 0.24305555555555555, 0.23726851851851852, 0.18171296296296297, 0.18171296296296297, 0.032407407407407406, -0.02546296296296296, 0.04861111111111111, -0.20601851851851852, -0.21180555555555555, -0.4409722222222222, -0.3900462962962963, -0.3715277777777778, -0.3738425925925926, -0.3923611111111111, -0.3680555555555556, -0.3761574074074074]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.1588487999997596, 1.9576466999997137, 2.525105799999892, 3.0409325000000536, 3.87070199999971, 4.305364999999711, 4.852870100000018, 5.270139299999755, 6.037460300000021, 6.553246099999797, 7.035291599999709, 7.783454200000051, 8.580695599999672, 9.514999999999873, 10.129831100000047, 10.762200699999994, 11.16332310000007, 11.695851499999662, 12.343530099999953, 12.841945099999975, 13.290425799999866, 13.74165579999999]","['polygon_19', 'polygon', 'polygon_6', 'polygon_2', 'polygon_14', 'polygon_17', 'polygon_4', 'polygon_12', 'polygon_13', 'polygon_11', 'polygon_7', 'polygon_3', 'polygon_16', 'polygon_8', 'polygon_10', 'polygon_18', 'polygon_5', 'polygon_15', 'polygon_9', 'polygon_20']",None,999,001,2023-02-16_18h42.57.614,foraging_expt_polygons_easy_A,2022.2.4,60.07972579612826,
