person,trial,id,found,difficulty,common,x,y,class
3,1,3,1,easy,A,-0.19118544,0.03732093,A
3,1,20,2,easy,A,-0.0103787,-0.02493495,B
3,1,4,3,easy,A,-0.09558094,0.24735057,A
3,1,15,4,easy,A,-0.01354215,0.16703315,A
3,1,2,5,easy,A,0.21553608,0.21571498,A
3,1,10,6,easy,A,0.29150398,0.18411106,A
3,1,7,7,easy,A,0.31221217,0.44880481,A
3,1,18,8,easy,A,-0.41431691,0.20829019,B
3,1,8,9,easy,A,-0.28015224,0.20199114,A
3,1,1,10,easy,A,-0.38777858,-0.01452248,A
3,1,14,11,easy,A,-0.28398432,-0.24095844,A
3,1,13,12,easy,A,-0.21478922,-0.15800258,A
3,1,16,13,easy,A,0.10253009,-0.1825677,B
3,1,9,14,easy,A,0.18763594,-0.22990399,A
3,1,11,15,easy,A,0.1126188,-0.35950778,A
3,1,5,16,easy,A,-0.10180866,-0.35134807,A
3,1,19,17,easy,A,0.01987139,-0.42002055,B
3,1,6,18,easy,A,-0.19553875,-0.40161143,A
3,1,17,19,easy,A,-0.30507538,-0.43558998,B
3,1,12,20,easy,A,-0.38256853,-0.24757105,A
3,2,3,1,easy,A,0.1946336,0.24756279,A
3,2,13,2,easy,A,0.09518498,0.16932771,A
3,2,15,3,easy,A,-0.00470596,0.22022172,A
3,2,14,4,easy,A,-0.18634311,0.19406304,A
3,2,2,5,easy,A,-0.10200721,0.20546641,A
3,2,16,6,easy,A,0.0100128,0.38114773,B
3,2,18,7,easy,A,0.28031012,0.38943396,B
3,2,8,8,easy,A,-0.40560645,0.37970272,A
3,2,11,9,easy,A,-0.41954233,0.17813071,A
3,2,17,10,easy,A,-0.28169814,0.04164787,B
3,2,9,11,easy,A,-0.18472578,0.03593725,A
3,2,12,12,easy,A,-0.1036459,-0.03340652,A
3,2,1,13,easy,A,-0.01659739,-0.16042777,A
3,2,20,14,easy,A,0.11332022,-0.22237229,B
3,2,6,15,easy,A,0.19005337,-0.03534593,A
3,2,5,16,easy,A,0.28902209,-0.4243247,A
3,2,7,17,easy,A,-0.09274588,-0.41262637,A
3,2,10,18,easy,A,-0.01911009,-0.41986698,A
3,2,19,19,easy,A,-0.3026173,-0.3889343,B
3,2,4,20,easy,A,-0.4017019,-0.20918063,A
3,3,19,1,easy,A,0.00184044,0.03753652,B
3,3,4,2,easy,A,5.2739e-4,0.17741767,A
3,3,10,3,easy,A,0.18269518,0.23444406,A
3,3,7,4,easy,A,0.2019867,0.36406818,A
3,3,9,5,easy,A,-0.08830633,0.40561337,A
3,3,8,6,easy,A,-0.18306924,0.40903263,A
3,3,17,7,easy,A,-0.19316382000000001,0.24783812,B
3,3,20,8,easy,A,-0.38723536,0.22627055,B
3,3,15,9,easy,A,-0.40390646,0.41471984,A
3,3,2,10,easy,A,-0.39326709,-0.03639473,A
3,3,6,11,easy,A,-0.30152553,-0.22848896,A
3,3,5,12,easy,A,-0.19279348,-0.35822626,A
3,3,14,13,easy,A,-0.30416166,-0.42586704,A
3,3,11,14,easy,A,-0.08956976,-0.44968983,A
3,3,13,15,easy,A,1.79872768e-4,-0.22506477,A
3,3,18,16,easy,A,0.10464018,-0.36162267,B
3,3,16,17,easy,A,0.19719152,-0.19022515,B
3,3,1,18,easy,A,0.30765071,-0.1790225,A
3,3,12,19,easy,A,0.3091444,-0.03319384,A
3,3,3,20,easy,A,0.21129218,-0.04450133,A
3,4,9,1,easy,A,-0.01268105,-0.04574039,A
3,4,19,2,easy,A,-0.08540426,0.04450403,B
3,4,2,3,easy,A,-0.01043919,0.15357998,A
3,4,16,4,easy,A,0.11494359,0.17955400999999999,B
3,4,12,5,easy,A,0.19727827,0.18186818,A
3,4,6,6,easy,A,0.11458931,0.36281539,A
3,4,7,7,easy,A,-0.01199591,0.42078501,A
3,4,17,8,easy,A,0.3051103,0.37899095,B
3,4,8,9,easy,A,-0.41738404,0.35563353,A
3,4,1,10,easy,A,-0.31549926,0.15739497,A
3,4,10,11,easy,A,-0.40555109,-0.02054144,A
3,4,3,12,easy,A,-0.40043195,-0.18685358,A
3,4,5,13,easy,A,-0.20924248,-0.16791645,A
3,4,20,14,easy,A,-0.08727263,-0.17350061,B
3,4,11,15,easy,A,0.09892429,-0.22323734,A
3,4,13,16,easy,A,0.01173942,-0.19314631,A
3,4,18,17,easy,A,0.18992833,-0.04482024,B
