trialNo,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,mouse_2.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,instructions_text_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,polygon_5.started,polygon_6.started,polygon_7.started,polygon_8.started,polygon_9.started,polygon_10.started,polygon_11.started,polygon_12.started,polygon_13.started,polygon_14.started,polygon_15.started,polygon_16.started,polygon_17.started,polygon_18.started,polygon_19.started,polygon_20.started,polygon_21.started,polygon_22.started,polygon_23.started,polygon_24.started,polygon_25.started,polygon_26.started,polygon_27.started,polygon_28.started,polygon_29.started,polygon_30.started,polygon_31.started,polygon_32.started,polygon_33.started,polygon_34.started,polygon_35.started,polygon_36.started,polygon_37.started,polygon_38.started,polygon_39.started,polygon_40.started,mouse.started,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback_text_2.started,feedback_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81836925645257,3.094834755756892e-05,[-0.03796296296296296],[-0.18611111111111112],[1],[0],[0],[2.342394488669015],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-04-12_12h27.01.550,foraging_expt_polygons_easy_A,2022.2.4,60.254151368757924,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.155382037819436,6.580279659829102e-05,-0.05648148148148148,-0.11018518518518519,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-04-12_12h27.01.550,foraging_expt_polygons_easy_A,2022.2.4,60.254151368757924,
33,0.1,0.4,-0.3,0.4,-0.1,0,-0.2,0,0.2,-0.4,0.2,0.4,0.3,-0.2,0.2,0.2,0.3,-0.4,0,0.2,-0.4,0.4,-0.1,-0.2,-0.3,0,0.1,-0.2,-0.4,-0.2,-0.2,-0.4,0.3,0.4,-0.3,0.2,-0.2,0.4,0,-0.4,-0.2,-0.2,-0.1,-0.4,-0.4,-0.4,0,0,0.1,-0.4,0.3,0.2,0.2,-0.2,0.1,0,0,-0.2,-0.4,0,-0.2,0.2,-0.3,-0.2,-0.4,0.2,-0.1,0.2,-0.3,-0.4,-0.1,0.4,0.1,0.2,0.2,0,0,0.4,0.3,0,0,0,0,32,,,,,,,,,,,,,,,,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,14.651279428722773,0.09155092084802163,[0.09688342 0.41416635],[-0.30490477  0.40525677],[-0.08877951  0.01472501],[-0.21466491  0.00853065],[ 0.18878882 -0.38902545],[0.18126215 0.35414835],[ 0.30693098 -0.2479548 ],[0.21474946 0.24802923],[ 0.29457374 -0.37290408],[-0.0072595   0.18021481],[-0.40029741  0.42160462],[-0.09617783 -0.22384027],[-0.30923609  0.03394817],[ 0.08164861 -0.23576031],[-0.38692585 -0.20408476],[-0.19295646 -0.40092226],[0.31696817 0.3543642 ],[-0.28622379  0.19655501],[-0.21555792  0.4035053 ],[-0.01090468 -0.44379608],[-0.18086804 -0.15159973],[-0.11093208 -0.38142413],[-0.39433465 -0.38646683],[-0.00256057 -0.03634416],[ 0.09094363 -0.42524388],[0.30752109 0.17464387],[ 0.18945607 -0.17266698],[ 0.10578277 -0.02924702],[-0.0046363 -0.1641812],[-0.39187227 -0.01949391],[-0.2135818   0.15876169],[-0.31128281 -0.19421386],[-0.39716034  0.2221089 ],[-0.10045167  0.17654542],[-0.29789943 -0.42756766],[-0.10425775  0.43545287],[0.08549017 0.17055255],[ 0.20331512 -0.04146394],[-0.01824235  0.44284648],[0.29388225 0.00639853],"[-0.38981481481481484, -0.29907407407407405, -0.21481481481481482, 0.10925925925925926, 0.2101851851851852, 0.22592592592592592, 0.18796296296296297, 0.33240740740740743, 0.18425925925925926, -0.014814814814814815, -0.2759259259259259, -0.3037037037037037, -0.2212962962962963, -0.07407407407407407, 0.30092592592592593, 0.3074074074074074, 0.06111111111111111, 0.19444444444444445, -0.008333333333333333, -0.07685185185185185, -0.18981481481481483, -0.37222222222222223]","[0.42962962962962964, 0.4, 0.40370370370370373, 0.4111111111111111, 0.35, 0.2518518518518518, 0.3574074074074074, 0.3509259259259259, 0.3574074074074074, 0.18425925925925926, 0.19074074074074074, 0.046296296296296294, 0.004629629629629629, 0.022222222222222223, -0.3611111111111111, -0.24537037037037038, -0.23796296296296296, -0.39351851851851855, -0.42962962962962964, -0.20925925925925926, -0.39537037037037037, -0.20833333333333334]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.343770037552531, 1.7109878051487613, 2.377467079071721, 3.077155732686151, 3.443305331589727, 3.910734749826588, 4.242949936391597, 4.810087418565672, 5.410243482368969, 5.976749077408385, 6.610035797923047, 7.209964706866231, 7.609950765085159, 8.343150169193905, 9.209472537999318, 9.609530107934916, 10.309005428280216, 11.042384212616525, 11.709135110870193, 12.175265599920749, 12.775510903133181, 13.708956331582158]","['polygon_11', 'polygon_2', 'polygon_19', 'polygon', 'polygon_8', 'polygon_6', 'polygon_17', 'polygon_6', 'polygon_10', 'polygon_18', 'polygon_13', 'polygon_4', 'polygon_3', 'polygon_9', 'polygon_7', 'polygon_5', 'polygon_20', 'polygon_16', 'polygon_15']",28.36985228323647,28.36985228323647,009,001,2023-04-12_12h27.01.550,foraging_expt_polygons_easy_A,2022.2.4,60.254151368757924,
2,0.2,0,0,0,-0.1,0,0.1,0,-0.4,-0.4,-0.2,0.4,0.3,-0.2,-0.1,-0.2,0.1,-0.2,0.2,0.2,-0.4,0,-0.3,0.2,0.3,0,0.3,-0.4,0.2,-0.2,0.3,0.4,0,-0.2,-0.3,-0.4,0,-0.4,-0.3,0.4,0.1,0.2,-0.4,0.2,-0.3,0,0.2,0.4,0.1,-0.4,-0.2,0.2,-0.4,-0.2,0.1,0.4,-0.1,0.4,0,0.2,-0.4,0.4,0.2,-0.4,-0.1,-0.4,-0.2,0,-0.3,-0.2,0.3,0.2,0,0.4,-0.2,-0.2,-0.1,0.2,-0.2,-0.4,0,1,1,1,,,,,,,,,,,,,,,,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,30.3860574990249,0.03204385891694983,[0.18753398 0.02812491],[-0.00198843 -0.01785615],[-0.10639425  0.0459402 ],[ 0.09848739 -0.04922288],[-0.40540046 -0.37458157],[-0.21386782  0.42573441],[ 0.29185998 -0.16407185],[-0.10040359 -0.18588398],[ 0.10929554 -0.15832067],[0.21745777 0.18964906],[-0.40271557 -0.03460368],[-0.30276379  0.24624893],[0.28578132 0.01962551],[ 0.3057079  -0.35073677],[ 0.21584614 -0.19590258],[0.28086414 0.40871781],[-0.00416363 -0.22074257],[-0.29881995 -0.38102316],[-0.00736963 -0.44366977],[-0.31189771  0.38747859],[0.11568326 0.21054151],[-0.41839782  0.15764259],[-0.28917191 -0.01782201],[0.19093637 0.40977475],[ 0.11553068 -0.360796  ],[-0.21764488  0.17122375],[-0.3957381  -0.19407713],[0.11438226 0.42303498],[-0.11954364  0.43274978],[-0.00294651  0.24404076],[-0.38687855  0.40406259],[ 0.18032296 -0.44357311],[-0.08974631 -0.41426194],[-0.21684096  0.0349696 ],[-0.28092119 -0.19884091],[0.2854971  0.15716761],[-0.00830807  0.37374021],[-0.18619241 -0.19745568],[-0.09824332  0.20066086],[-0.2058473  -0.42758466],"[-0.20555555555555555, -0.2972222222222222, -0.28888888888888886, 0.2814814814814815, 0.23703703703703705, 0.29444444444444445, 0.23055555555555557, 0.1962962962962963, 0.11018518518518519, 0.0, -0.10740740740740741, -0.38981481481481484, -0.12129629629629629, 0.013888888888888888, -0.09074074074074075, 0.13703703703703704, 0.21574074074074073, 0.2833333333333333, 0.31574074074074077, 0.10555555555555556, 0.000925925925925926, -0.3037037037037037, -0.4166666666666667]","[0.4166666666666667, 0.38981481481481484, 0.25, 0.39444444444444443, 0.19907407407407407, 0.01574074074074074, 0.1787037037037037, 0.037037037037037035, -0.03981481481481482, -0.024074074074074074, 0.05740740740740741, -0.037037037037037035, -0.1824074074074074, -0.21296296296296297, -0.18518518518518517, -0.15092592592592594, -0.18333333333333332, -0.15648148148148147, -0.36666666666666664, -0.15462962962962962, -0.44166666666666665, -0.3814814814814815, -0.37222222222222223]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.2838011541625747, 1.7336906715663645, 2.2843071446204704, 3.4660208177210734, 4.082142322735308, 4.566779022188712, 5.215946151076423, 5.733004399471611, 6.316656280439929, 6.730070315847115, 7.199317573913504, 7.781538319160973, 8.731296831911095, 9.349176984283986, 9.965367897728356, 10.547484079628703, 11.130676542894435, 11.68214634902506, 12.29800945036186, 12.981978446729045, 13.664879274401756, 14.281321981197834, 14.664778617154298]","['polygon_6', 'polygon_20', 'polygon_12', 'polygon_16', 'polygon_13', 'polygon_10', 'polygon', 'polygon_4', 'polygon_2', 'polygon_3', 'polygon_11', 'polygon_17', 'polygon_8', 'polygon_15', 'polygon_7', 'polygon_14', 'polygon_9', 'polygon_19', 'polygon_18', 'polygon_5']",45.06733849619923,45.06733849619923,009,001,2023-04-12_12h27.01.550,foraging_expt_polygons_easy_A,2022.2.4,60.254151368757924,
8,0.3,-0.2,-0.4,0,0.2,0,0,0.2,-0.2,-0.4,-0.3,-0.2,0.2,0.4,-0.2,0.4,-0.1,0.4,0.2,0.2,-0.1,-0.4,0.3,0,0,-0.2,-0.3,-0.4,-0.4,0.4,0.2,-0.2,-0.2,0.2,0.1,-0.4,0,0,-0.4,0.2,0.1,0,-0.3,0,-0.2,0,0.3,0.2,0.2,-0.4,0.1,0.2,-0.3,0.2,-0.2,-0.2,0,-0.4,-0.3,0.4,0.1,0.4,0.3,-0.4,-0.1,0,-0.1,-0.2,0.1,-0.2,-0.4,-0.2,0.3,0.4,-0.1,0.2,0,0.4,-0.4,-0.4,0,2,2,7,,,,,,,,,,,,,,,,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,47.100371800826906,0.033266769347392255,[ 0.31337201 -0.183796  ],[-0.40625323  0.00172121],[0.21567866 0.00316277],[0.00125628 0.24869804],[-0.20649893 -0.38862854],[-0.3195045  -0.15269633],[0.20620238 0.43307211],[-0.19950186  0.42059239],[-0.11404819  0.41381228],[0.20314843 0.20836786],[-0.1043351  -0.39382654],[ 0.2901646  -0.02824667],[-0.01728625 -0.1802322 ],[-0.31534498 -0.39237635],[-0.38002819  0.36880533],[ 0.18353423 -0.19728793],[-0.205103    0.16173736],[ 0.09182024 -0.44012767],[ 0.00167494 -0.01853382],[-0.38620158  0.22956575],[0.09338502 0.02113289],[-0.30789258  0.01387271],[-0.19335177 -0.0027931 ],[0.28039492 0.24312866],[ 0.19928392 -0.35106226],[0.08481282 0.22026395],[-0.30362079  0.20868285],[-0.20053947 -0.1977125 ],[ 0.00777383 -0.40646583],[-0.31069675  0.39159139],[0.10650031 0.44638145],[ 0.28952751 -0.44352654],[-0.08946527 -0.00816667],[-0.10184976 -0.23927233],[ 0.09703548 -0.18729258],[-0.39462876 -0.23582122],[0.29401183 0.38113732],[-0.08377159  0.20953764],[0.00526657 0.44600042],[-0.38681153 -0.41244017],"[-0.38796296296296295, -0.18981481481481483, -0.10462962962962963, 0.1925925925925926, 0.20925925925925926, 0.006481481481481481, -0.19907407407407407, -0.37222222222222223, -0.39351851851851855, 0.021296296296296296, 0.25, 0.2611111111111111, 0.2861111111111111, 0.2222222222222222, 0.18518518518518517, 0.3175925925925926, -0.013888888888888888, -0.3212962962962963, -0.2972222222222222, -0.21481481481481482, -0.13055555555555556, -0.11203703703703703, 0.08981481481481482]","[0.3787037037037037, 0.4222222222222222, 0.40555555555555556, 0.4361111111111111, 0.2074074074074074, 0.2490740740740741, 0.15833333333333333, 0.22592592592592592, 0.000925925925925926, -0.01574074074074074, -0.003703703703703704, -0.032407407407407406, -0.032407407407407406, -0.003703703703703704, -0.18611111111111112, -0.17222222222222222, -0.17037037037037037, -0.14074074074074075, -0.3851851851851852, -0.3824074074074074, -0.3888888888888889, -0.39814814814814814, -0.4398148148148148]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0578070061055769, 1.6073568128140323, 2.05733016117847, 2.7733499272562767, 3.2897429364147683, 3.805471607745858, 4.390205779469397, 5.12383785950442, 5.673122952677659, 6.88921453094008, 7.539160176027508, 7.922171215874187, 8.172682765016361, 8.556437466610078, 9.072902588424768, 9.755688035849744, 10.337943635548072, 11.355234747723443, 11.905978920269263, 12.388859676586435, 12.839020818322751, 13.08917931592805, 14.238780022151332]","['polygon_15', 'polygon_8', 'polygon_9', 'polygon_7', 'polygon_10', 'polygon_4', 'polygon_17', 'polygon_20', 'polygon_2', 'polygon_19', 'polygon_12', 'polygon_3', 'polygon_16', 'polygon', 'polygon_13', 'polygon_6', 'polygon_14', 'polygon_5', 'polygon_11', 'polygon_18']",61.34805533204053,61.34805533204053,009,001,2023-04-12_12h27.01.550,foraging_expt_polygons_easy_A,2022.2.4,60.254151368757924,
23,0.1,0.4,-0.1,-0.4,0,0.4,0.3,0,0.2,0.2,-0.2,-0.4,-0.1,-0.2,-0.2,0.2,0.1,0,-0.3,0.2,0.2,-0.4,0.3,0.4,0,0,-0.3,-0.2,0.2,-0.2,-0.4,0,-0.2,0,0,-0.4,-0.2,-0.2,-0.3,-0.4,0.2,0,-0.4,0.2,0,0.2,-0.3,0.4,-0.2,0.4,0.1,-0.4,-0.1,0,-0.4,-0.2,-0.4,0.4,0,-0.2,-0.1,0.4,0.3,0.2,0.1,0.2,0.3,-0.4,0.3,-0.2,-0.1,0.2,0.1,-0.2,-0.3,0,-0.4,-0.4,0.2,0.4,0,3,3,22,,,,,,,,,,,,,,,,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,63.39774846264845,0.04271472895015904,[0.10209387 0.37402395],[-0.09693536 -0.35669694],[-0.00126476  0.41055128],[ 0.30260384 -0.04427874],[0.20394695 0.2208741 ],[-0.20074259 -0.35000269],[-0.10159887 -0.23092315],[-0.19350572  0.23569125],[ 0.11514005 -0.03656963],[-0.31504208  0.21868538],[ 0.2056193  -0.35611528],[0.30128898 0.36897546],[0.0100782  0.02389428],[-0.30445214 -0.15136858],[ 0.21581357 -0.22905928],[-0.39052636  0.02811635],[-0.21006625 -0.02671174],[-0.00426771 -0.39487872],[-0.20963134 -0.2047293 ],[-0.28099695 -0.42307252],[0.19146379 0.01772657],[-0.41510818  0.24823438],[0.00444438 0.20380348],[-0.29730422  0.38847853],[-0.20744997  0.41127669],[ 0.09049799 -0.35254686],[-0.1146993   0.02825902],[-0.41205117 -0.20435516],[-0.39842305  0.3740785 ],[ 0.00846296 -0.23293158],[-0.08167303  0.41777368],[0.30118131 0.18007973],[0.10615154 0.22755586],[ 0.28113214 -0.42042476],[ 0.30574024 -0.17010381],[-0.09362848  0.16003646],[ 0.10513185 -0.2362798 ],[-0.30886854 -0.045093  ],[-0.40463367 -0.37217168],[0.21470423 0.35702872],"[-0.003703703703703704, 0.11018518518518519, 0.287962962962963, 0.19722222222222222, -0.17314814814814813, -0.2972222222222222, -0.18333333333333332, -0.3925925925925926, -0.21666666666666667, 0.025925925925925925, 0.1259259259259259, 0.3, 0.20277777777777778, 0.2111111111111111, -0.011111111111111112, -0.08148148148148149, -0.08981481481481482, -0.19907407407407407, -0.2898148148148148, -0.19814814814814816, -0.10092592592592593, -0.2777777777777778]","[0.41203703703703703, 0.36944444444444446, 0.3611111111111111, 0.22407407407407406, 0.2324074074074074, 0.225, 0.2388888888888889, 0.03796296296296296, -0.032407407407407406, 0.025, -0.037037037037037035, -0.037037037037037035, -0.2361111111111111, -0.35, -0.39166666666666666, -0.3351851851851852, -0.2462962962962963, -0.20925925925925926, -0.15462962962962962, -0.3453703703703704, -0.362962962962963, -0.4101851851851852]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.2164377190038067, 1.5648785532757756, 2.582714115991621, 3.232678089711044, 4.04848464270799, 4.533477097920695, 5.28170117357331, 5.799436679981227, 6.381572993328518, 6.965471860139587, 7.3475577547233115, 8.098016120782631, 8.7133735321313, 9.131671997995, 9.714290564719704, 10.096706975637062, 10.545330615486819, 11.213819729180614, 11.597931688884273, 12.147510641123517, 12.597408271200038, 13.213522264481071]","['polygon_3', 'polygon', 'polygon_12', 'polygon_5', 'polygon_10', 'polygon_8', 'polygon_16', 'polygon_17', 'polygon_13', 'polygon_9', 'polygon_4', 'polygon_15', 'polygon_11', 'polygon_18', 'polygon_7', 'polygon_19', 'polygon_14', 'polygon_6', 'polygon_2', 'polygon_20']",76.61261292390918,76.61261292390918,009,001,2023-04-12_12h27.01.550,foraging_expt_polygons_easy_A,2022.2.4,60.254151368757924,
30,0.3,-0.2,0,0.4,0.1,0.4,-0.4,0,-0.1,0.2,-0.3,0.2,0.1,-0.4,-0.4,-0.2,-0.4,0.4,0,-0.4,0.3,0,0.1,0,0.2,-0.2,-0.1,0,0.2,-0.4,-0.3,0,-0.1,-0.2,-0.4,-0.4,0.2,0,0.1,-0.2,0,0.2,-0.3,-0.2,0.2,0.4,0,0,0,-0.2,-0.3,-0.4,-0.4,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.3,-0.4,-0.2,-0.2,-0.3,0.4,-0.1,0.4,-0.2,0.2,-0.2,0.4,-0.2,-0.4,-0.2,0,0.1,0.2,-0.1,-0.4,0,4,4,29,,,,,,,,,,,,,,,,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,78.62900082508895,0.026438001445058035,[ 0.30013288 -0.15350038],[-0.00357875  0.44262202],[0.09539456 0.39942891],[-0.41990312  0.00655425],[-0.08120126  0.20615648],[-0.29891296  0.19492308],[ 0.11869599 -0.38951587],[-0.41808919 -0.22610973],[-0.38318977  0.43170913],[ 0.00709925 -0.38193764],[ 0.28657447 -0.0331957 ],[ 0.08767648 -0.01625937],[ 0.19348891 -0.17527895],[-0.09323898  0.01569661],[ 0.18635868 -0.42875584],[-0.31452738 -0.02557059],[-0.11118251 -0.20070912],[-0.39288542 -0.38678435],[ 0.21678748 -0.00987942],[ 0.08180276 -0.16906979],[-0.01438648  0.20107514],[-0.2973659  -0.19684768],[0.20337483 0.39883923],[ 0.01341871 -0.02047194],[ 0.01889616 -0.17052578],[-0.29448098 -0.35122796],[-0.40651274  0.16036537],[0.20428427 0.16056227],[0.30400674 0.20839215],[0.30364364 0.39479214],[ 0.31667932 -0.38654579],[-0.21295196 -0.2087157 ],[-0.30280658  0.43962622],[-0.09403046  0.41453074],[-0.1941135   0.22971645],[-0.18533989  0.39894088],[-0.19611954 -0.41507389],[-0.18098162 -0.01892297],[0.10736382 0.24495382],[-0.09164341 -0.40965509],"[-0.37222222222222223, 0.014814814814814815, 0.0962962962962963, -0.09166666666666666, -0.28055555555555556, -0.40555555555555556, -0.3037037037037037, -0.4324074074074074, -0.09259259259259259, 0.08425925925925926, 0.24259259259259258, 0.2935185185185185, 0.2074074074074074, 0.31203703703703706, 0.1925925925925926, 0.07037037037037037, 0.20277777777777778, 0.18888888888888888, 0.11481481481481481, 0.005555555555555556, -0.11944444444444445, -0.4064814814814815, -0.3851851851851852]","[0.4388888888888889, 0.44166666666666665, 0.4009259259259259, 0.2064814814814815, 0.19814814814814816, 0.021296296296296296, -0.018518518518518517, 0.01574074074074074, 0.012962962962962963, -0.013888888888888888, -0.011111111111111112, -0.025925925925925925, 0.004629629629629629, -0.14722222222222223, -0.17222222222222222, -0.1648148148148148, -0.012037037037037037, -0.43425925925925923, -0.3861111111111111, -0.38055555555555554, -0.19722222222222222, -0.23148148148148148, -0.4009259259259259]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.6494441616687254, 2.2661933472463716, 2.849045378690789, 3.4164085133797926, 3.8336757682845928, 4.497908432553231, 4.982953169441316, 5.432356827835974, 6.215676930500194, 6.898809720545614, 7.448400992028837, 7.800486820511651, 8.114960791748672, 8.730834109044736, 9.246195005838672, 9.648908725210276, 10.165362128716879, 11.376960788142242, 11.88176349092464, 12.66443367829197, 13.414054636152287, 13.931709316293563, 14.647733589412383]","['polygon_9', 'polygon_2', 'polygon_3', 'polygon_5', 'polygon_6', 'polygon_16', 'polygon_4', 'polygon_14', 'polygon_12', 'polygon_11', 'polygon_19', 'polygon', 'polygon_13', 'polygon_20', 'polygon_19', 'polygon_15', 'polygon_7', 'polygon_10', 'polygon_17', 'polygon_8', 'polygon_18']",93.29310969596736,93.29310969596736,009,001,2023-04-12_12h27.01.550,foraging_expt_polygons_easy_A,2022.2.4,60.254151368757924,
