trialNo,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,mouse_2.started,polygon_example7.started,polygon_example8.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,instructions_text_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,polygon_5.started,polygon_6.started,polygon_7.started,polygon_8.started,polygon_9.started,polygon_10.started,polygon_11.started,polygon_12.started,polygon_13.started,polygon_14.started,polygon_15.started,polygon_16.started,polygon_17.started,polygon_18.started,polygon_19.started,polygon_20.started,polygon_21.started,polygon_22.started,polygon_23.started,polygon_24.started,polygon_25.started,polygon_26.started,polygon_27.started,polygon_28.started,polygon_29.started,polygon_30.started,polygon_31.started,polygon_32.started,polygon_33.started,polygon_34.started,polygon_35.started,polygon_36.started,polygon_37.started,polygon_38.started,polygon_39.started,polygon_40.started,mouse.started,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback_text_2.started,feedback_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.664777415278877,3.635679604485631e-05,10.664777415278877,10.664777415278877,[-0.003703703703703704],[-0.05555555555555555],[0],[0],[1],[2.3616086049623846],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-04-12_11h13.24.825,foraging_expt_polygons_hard_AB,2022.2.4,60.05637289861374,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.031034582224493,5.107979632157367e-05,-0.001851851851851852,0.013888888888888888,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-04-12_11h13.24.825,foraging_expt_polygons_hard_AB,2022.2.4,60.05637289861374,
4,-0.3,0.4,-0.1,-0.4,-0.3,-0.2,-0.1,-0.2,-0.2,0.2,0.2,0,-0.4,0.2,-0.3,-0.4,0.2,-0.2,0,-0.4,0.1,0,0.3,-0.4,0.3,0.4,0.1,-0.4,-0.4,-0.4,-0.3,0,0.2,-0.4,-0.2,-0.2,0.3,0,-0.4,0.4,-0.2,0.4,-0.1,0.4,0.1,-0.2,0,-0.2,0.3,-0.2,0.1,0.4,-0.2,-0.4,0.2,0.4,0.2,0.2,-0.4,0,0.1,0.2,0,0.2,0.3,0.2,-0.2,0,-0.4,-0.2,0,0.4,-0.1,0,-0.1,0.2,0,0,-0.3,0.2,0,0,0,3,,,,,,,,,,,,,,,,,,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,14.147550904022864,0.0891231281502769,[-0.29843225  0.42269339],[-0.09701031 -0.40737329],[-0.30815401 -0.21592377],[-0.11452876 -0.15974429],[-0.19770332  0.24505828],[ 0.19011647 -0.00025914],[-0.41015071  0.22694319],[-0.2802256  -0.41839877],[ 0.20039385 -0.21434039],[-0.00832526 -0.38951103],[ 0.11844216 -0.04049253],[ 0.28780219 -0.38188371],[0.30195266 0.42767207],[ 0.10498056 -0.41054737],[-0.38778113 -0.39717075],[-0.31896248 -0.03148334],[ 0.18912161 -0.36701627],[-0.21289648 -0.22911609],[0.29225905 0.01679796],[-0.40250294  0.43441736],[-0.21592808  0.44696964],[-0.11450342  0.41931192],[ 0.08334425 -0.19703373],[ 0.00755557 -0.18610296],[ 0.31026246 -0.17569712],[0.0879229  0.44831525],[-0.20548913 -0.4362738 ],[0.20307119 0.41769803],[0.20392109 0.1753024 ],[-0.40715873  0.00813752],[0.08722877 0.16048867],[-0.01176503  0.19325836],[0.30255914 0.15585901],[-0.19336973  0.02808086],[-0.38546754 -0.18633838],[0.00208101 0.43533795],[-0.10040016  0.03824563],[-0.11076005  0.2277138 ],[ 0.00266759 -0.03758201],[-0.31341566  0.18267491],"[-0.40555555555555556, -0.30277777777777776, 0.32407407407407407, 0.3212962962962963, 0.31203703703703706, -0.175, -0.1962962962962963, -0.3990740740740741, -0.3148148148148148, 0.10925925925925926, 0.17592592592592593, 0.2814814814814815, -0.21851851851851853, 0.18611111111111112, -0.011111111111111112, 0.08888888888888889, -0.08425925925925926, -0.25925925925925924, -0.2740740740740741, -0.3731481481481482, -0.3101851851851852]","[0.44166666666666665, 0.41944444444444445, 0.44351851851851853, 0.44074074074074077, 0.4351851851851852, 0.24537037037037038, 0.2462962962962963, 0.225, -0.030555555555555555, -0.05555555555555555, 0.002777777777777778, 0.017592592592592594, -0.2175925925925926, -0.375, -0.39814814814814814, -0.4148148148148148, -0.4009259259259259, -0.41388888888888886, -0.412962962962963, -0.3907407407407407, -0.22037037037037038]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0316310139696725, 1.500292356719001, 3.415545865751483, 3.6356126540877085, 3.98378246496668, 5.367114706594293, 5.682642724464131, 6.200474681547348, 7.150003034740621, 7.966559559343295, 8.433020564725666, 8.916486334952424, 11.415956306942462, 12.966079409252416, 13.480928606669295, 13.83245345879277, 14.482696268109976, 15.364189937519768, 15.648802359044566, 16.132404542375298, 17.215670620643323]","['polygon_20', 'polygon', 'polygon_13', 'polygon_5', 'polygon_7', 'polygon_16', 'polygon_11', 'polygon_6', 'polygon_19', 'polygon_18', 'polygon_17', 'polygon_10', 'polygon_14', 'polygon_2', 'polygon_8', 'polygon_15', 'polygon_3']",34.09865551965322,34.09865551965322,002,001,2023-04-12_11h13.24.825,foraging_expt_polygons_hard_AB,2022.2.4,60.05637289861374,
9,-0.3,-0.2,-0.1,0.4,-0.2,0.4,0.1,0.4,0.1,-0.4,0.1,-0.2,-0.4,0.2,0.1,0,-0.4,0.4,0,0.2,0.3,0.4,0.2,-0.2,-0.1,0.2,-0.3,0.4,0,0.4,-0.1,-0.4,0.2,0,-0.2,-0.4,0.3,-0.2,-0.2,-0.2,0,-0.2,0.1,0.2,0.2,0.4,-0.3,0,0.3,-0.4,0.2,-0.4,0,-0.4,-0.4,0,0,0,-0.2,0.2,-0.4,-0.2,0.2,0.2,-0.4,-0.4,-0.1,-0.2,-0.2,0,-0.1,0,0.3,0.2,0.3,0,-0.3,-0.4,-0.3,0.2,0,1,1,8,,,,,,,,,,,,,,,,,,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,36.1109945957578,0.03279052535799565,[-0.31922258 -0.22285508],[-0.10725534  0.35829251],[-0.2018252   0.39864287],[0.10236253 0.35709493],[ 0.1103313  -0.41788024],[ 0.0804287  -0.16150287],[-0.38572712  0.20395418],[ 0.11583527 -0.00475321],[-0.39295805  0.35841193],[-0.0199026  0.1776539],[0.28392551 0.38384056],[ 0.21931983 -0.21456596],[-0.08750591  0.17927909],[-0.30442575  0.42229744],[-0.0054944   0.43833573],[-0.08991812 -0.44947336],[0.21244561 0.00383238],[-0.2057874  -0.36908594],[ 0.31367131 -0.16483345],[-0.21569399 -0.18057267],[-0.0070919  -0.15912539],[0.10269853 0.15798895],[0.19539566 0.37890191],[-0.29832879  0.01603829],[ 0.28246303 -0.36734291],[ 0.2058177  -0.36798103],[ 0.00628682 -0.42590296],[-0.38845458  0.0363695 ],[-0.0101789  -0.01580868],[-0.19543926  0.20488041],[-0.41236311 -0.20375133],[0.21696686 0.16044253],[-0.41318809 -0.43641011],[-0.09668045 -0.24804003],[-0.18174212  0.03871288],[-0.11741636 -0.04964389],[0.31139197 0.17379801],[0.30996915 0.03592914],[-0.28124033 -0.35590757],[-0.29656283  0.22213674],"[-0.3175925925925926, -0.4064814814814815, -0.20925925925925926, -0.11944444444444445, -0.027777777777777776, -0.032407407407407406, 0.0, 0.09907407407407408, 0.29259259259259257, -0.07685185185185185, -0.09166666666666666, -0.412962962962963, -0.4101851851851852, -0.3990740740740741, 0.11574074074074074, 0.20925925925925926, 0.07777777777777778, 0.22685185185185186, 0.31574074074074077, 0.30092592592592593, -0.21481481481481482, -0.3435185185185185, -0.33240740740740743, -0.19722222222222222, -0.08888888888888889, 0.11296296296296296]","[0.4351851851851852, 0.3648148148148148, 0.40555555555555556, 0.36018518518518516, 0.4444444444444444, 0.45, 0.44722222222222224, 0.3527777777777778, 0.38055555555555554, 0.15925925925925927, 0.175, 0.20555555555555555, 0.2064814814814815, 0.19537037037037036, -0.008333333333333333, -0.002777777777777778, -0.16111111111111112, -0.21296296296296297, -0.18055555555555555, -0.1648148148148148, -0.18981481481481483, -0.225, -0.2212962962962963, -0.375, -0.45555555555555555, -0.42592592592592593]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.0703077347434373, 2.601783406036702, 3.152184442536054, 3.668583160613707, 4.21791572795064, 4.668800700454085, 4.852379988017674, 5.336187391943895, 5.784415013133184, 7.768067374852762, 8.119242180134279, 8.701983939309685, 9.016978323536932, 9.330863074294939, 10.401763334681164, 10.918772907035418, 13.000357558577889, 13.651784217304339, 13.966110658069738, 14.918319198251993, 15.834565758627832, 16.450289141696885, 16.80106011611315, 17.7166077846814, 18.567814740186805, 19.150950414737963]","['polygon_14', 'polygon_9', 'polygon_3', 'polygon_2', 'polygon_15', 'polygon_4', 'polygon_11', 'polygon_13', 'polygon_7', 'polygon_8', 'polygon_17', 'polygon_6', 'polygon_12', 'polygon_19', 'polygon_19', 'polygon_20', 'polygon', 'polygon_18', 'polygon_16', 'polygon_5']",56.09532842206136,56.09532842206136,002,001,2023-04-12_11h13.24.825,foraging_expt_polygons_hard_AB,2022.2.4,60.05637289861374,
33,0.1,0.4,-0.3,0.4,-0.1,0,-0.2,0,0.2,-0.4,0.2,0.4,0.3,-0.2,0.2,0.2,0.3,-0.4,0,0.2,-0.4,0.4,-0.1,-0.2,-0.3,0,0.1,-0.2,-0.4,-0.2,-0.2,-0.4,0.3,0.4,-0.3,0.2,-0.2,0.4,0,-0.4,-0.2,-0.2,-0.1,-0.4,-0.4,-0.4,0,0,0.1,-0.4,0.3,0.2,0.2,-0.2,0.1,0,0,-0.2,-0.4,0,-0.2,0.2,-0.3,-0.2,-0.4,0.2,-0.1,0.2,-0.3,-0.4,-0.1,0.4,0.1,0.2,0.2,0,0,0.4,0.3,0,0,2,2,32,,,,,,,,,,,,,,,,,,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,58.0784444459141,0.01770726228460262,[0.11785409 0.390315  ],[-0.30928107  0.42559063],[-0.10754467  0.03787306],[-0.19907686  0.02697419],[ 0.19061346 -0.38123082],[0.19763986 0.43388195],[ 0.29078786 -0.23572008],[0.18953107 0.18781311],[ 0.2989318  -0.42781782],[-0.00475745  0.18900488],[-0.39933772  0.40893331],[-0.09110989 -0.18673542],[-0.31751    -0.03050642],[ 0.08593263 -0.20951528],[-0.39598115 -0.16276508],[-0.21116383 -0.3633296 ],[0.29924595 0.43287007],[-0.30571648  0.2029564 ],[-0.19899341  0.36349757],[ 0.01984845 -0.38230457],[-0.21779634 -0.2300007 ],[-0.08459291 -0.44835908],[-0.40478268 -0.37815245],[-0.01314454  0.01706661],[ 0.08088484 -0.4408426 ],[0.30100236 0.19783436],[ 0.19234307 -0.21847788],[0.08297605 0.04559825],[-0.00115433 -0.22478276],[-0.39906543 -0.03160909],[-0.18198321  0.20590877],[-0.31330636 -0.17460316],[-0.38065849  0.21683742],[-0.11329503  0.2458813 ],[-0.28394851 -0.35401832],[-0.11624695  0.37695456],[0.11210007 0.23998264],[0.18956596 0.00512202],[-0.01038049  0.39512475],[0.29925817 0.03179006],"[-0.39351851851851855, -0.29907407407407405, -0.20555555555555555, 0.11574074074074074, 0.18796296296296297, 0.2824074074074074, 0.002777777777777778, -0.29259259259259257, -0.30833333333333335, -0.42314814814814816, -0.4148148148148148, -0.4203703703703704, -0.4111111111111111, -0.1925925925925926, -0.12314814814814815, -0.10925925925925926, -0.10277777777777777, -0.07685185185185185, 0.09351851851851851, 0.28055555555555556, -0.20092592592592592]","[0.4074074074074074, 0.4203703703703704, 0.36574074074074076, 0.38333333333333336, 0.4398148148148148, 0.43703703703703706, 0.18611111111111112, 0.19166666666666668, -0.03333333333333333, -0.15925925925925927, -0.15833333333333333, -0.1712962962962963, -0.16666666666666666, 0.03518518518518519, 0.02962962962962963, 0.032407407407407406, 0.032407407407407406, -0.19166666666666668, -0.21388888888888888, -0.23703703703703705, -0.362962962962963]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.899455128801492, 4.415060307211206, 4.9325109686351425, 6.848026787447452, 7.182313710478411, 7.563829614623501, 8.7485539910449, 9.431339738939641, 10.481162071387189, 11.263267075825752, 11.612195872391567, 12.41561467324209, 12.697634644841855, 13.282035596007518, 13.596868327701486, 13.84805833673363, 14.730950991638565, 16.579827206061054, 17.1642918567386, 17.713360011009172, 19.09726044025956]","['polygon_11', 'polygon_2', 'polygon_19', 'polygon', 'polygon_6', 'polygon_17', 'polygon_10', 'polygon_18', 'polygon_13', 'polygon_15', 'polygon_4', 'polygon_3', 'polygon_3', 'polygon_3', 'polygon_12', 'polygon_14', 'polygon_7', 'polygon_16']",78.09200493010212,78.09200493010212,002,001,2023-04-12_11h13.24.825,foraging_expt_polygons_hard_AB,2022.2.4,60.05637289861374,
35,-0.1,-0.4,-0.2,-0.4,0.1,-0.4,-0.2,0,0.3,-0.4,0.1,0.4,-0.2,0.4,-0.1,-0.2,-0.3,0.2,0.1,0.2,-0.1,0,-0.4,-0.2,0.2,0.4,0,0.4,0,-0.4,0.1,-0.2,0.2,0.2,0.1,0,0.3,0.2,-0.3,-0.2,-0.1,0.4,-0.1,0.2,0.2,-0.4,-0.2,-0.2,-0.3,0.4,0,0,-0.4,0,0.3,0,0,0.2,0.3,-0.2,-0.4,0.2,0.3,0.4,0.2,0,0,-0.2,-0.3,0,0.2,-0.2,-0.2,0.2,-0.3,-0.4,-0.4,0.4,-0.4,-0.4,0,3,3,34,,,,,,,,,,,,,,,,,,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,80.0918841414059,0.03152645062073134,[-0.10080929 -0.40140261],[-0.21590586 -0.40417019],[ 0.08387207 -0.38109781],[-0.21433234  0.0063412 ],[ 0.28034563 -0.36628971],[0.10601656 0.41245406],[-0.1999773   0.36167167],[-0.10101167 -0.19174127],[-0.3014227   0.22453133],[0.09721054 0.16787927],[-0.083787   -0.00810613],[-0.41359043 -0.24156921],[0.18402801 0.36351314],[-0.00317254  0.43356937],[ 0.00469958 -0.36378319],[ 0.08777517 -0.23048264],[0.19592098 0.24031046],[0.11237697 0.04578659],[0.30639476 0.24359902],[-0.28819803 -0.21664659],[-0.10006264  0.4447239 ],[-0.08323089  0.17194975],[ 0.21758848 -0.40633352],[-0.21211422 -0.16931329],[-0.30357269  0.4373005 ],[-0.00173714  0.01585706],[-0.39654616  0.0365145 ],[0.28522695 0.01011687],[-0.01059727  0.17899262],[ 0.28667428 -0.23192351],[-0.39167108  0.19759035],[0.29270638 0.38580459],[0.19334412 0.003692  ],[ 0.00367169 -0.16220571],[-0.30023534  0.01638289],[ 0.1893859 -0.2217371],[-0.20811331  0.16535572],[-0.318569   -0.42952774],[-0.39976492  0.37067484],[-0.40896293 -0.43855017],"[-0.19074074074074074, -0.004629629629629629, 0.10833333333333334, 0.30925925925925923, 0.2, 0.10277777777777777, -0.30092592592592593, -0.0787037037037037, 0.12129629629629629, -0.23055555555555557, -0.21296296296296297, -0.06666666666666667, -0.09907407407407408, -0.2898148148148148, 0.08518518518518518, -0.3972222222222222, -0.23055555555555557, -0.11388888888888889, 0.008333333333333333, 0.09907407407407408, 0.1, 0.062037037037037036, 0.07962962962962963, 0.27870370370370373]","[0.3592592592592593, 0.4287037037037037, 0.41944444444444445, 0.23703703703703705, 0.23148148148148148, 0.15648148148148147, 0.22314814814814815, -0.01574074074074074, 0.04537037037037037, -0.006481481481481481, 0.0, -0.19722222222222222, -0.1925925925925926, -0.2175925925925926, -0.24814814814814815, -0.24444444444444444, -0.40370370370370373, -0.4083333333333333, -0.37777777777777777, -0.3962962962962963, -0.3907407407407407, -0.3814814814814815, -0.37592592592592594, -0.37222222222222223]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.313342703972012, 3.4982299348039305, 4.715015296897036, 5.598585510284465, 5.9806341466637605, 7.828821084298397, 9.13182133128339, 10.58228925227013, 11.031168591573987, 12.04655352591817, 12.330199337405247, 13.21189642459467, 13.464220405116976, 14.078558323813922, 14.547267741666474, 15.630893481797102, 16.74604747536614, 17.130059078292106, 17.512861892849287, 17.96244613334966, 18.278088630057937, 18.5617858218111, 18.978721959445465, 19.396091974883348]","['polygon_7', 'polygon_14', 'polygon_6', 'polygon_19', 'polygon_17', 'polygon_10', 'polygon_9', 'polygon_11', 'polygon_18', 'polygon_4', 'polygon_8', 'polygon_20', 'polygon_16', 'polygon_12', 'polygon_2', 'polygon', 'polygon_15', 'polygon_3', 'polygon_5']",100.07198946193785,100.07198946193785,002,001,2023-04-12_11h13.24.825,foraging_expt_polygons_hard_AB,2022.2.4,60.05637289861374,
24,0.2,0.4,-0.4,0.4,0.3,0.2,-0.1,-0.2,-0.1,0.4,-0.4,0.2,-0.3,-0.2,0.3,-0.4,-0.1,-0.4,0.1,0.2,0.1,0.4,0,-0.4,-0.1,0,-0.3,0.4,0.3,-0.2,0.3,0.4,-0.4,-0.4,-0.1,0.2,0,0,0.1,-0.2,-0.3,0.2,-0.2,0.4,0,0.4,0.2,-0.4,0.1,-0.4,0,-0.2,-0.2,-0.2,-0.2,0,-0.2,-0.4,-0.3,0,-0.4,0,0.1,0,0.2,0,0.3,0,0.2,-0.2,-0.3,-0.4,-0.2,0.2,0.2,0.2,-0.4,-0.2,0,0.2,0,4,4,23,,,,,,,,,,,,,,,,,,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,102.08862675271303,0.0218789793407268,[0.18432439 0.35229468],[-0.38646864  0.40045271],[0.28187527 0.19366233],[-0.11215903 -0.23054499],[-0.11803566  0.4106513 ],[-0.40702144  0.1983179 ],[-0.31039681 -0.16026709],[ 0.31119762 -0.40334473],[-0.08152776 -0.4354605 ],[0.11854843 0.19085211],[0.10929197 0.42344852],[ 0.01907377 -0.37074327],[-0.08123221 -0.00011943],[-0.31639974  0.41930678],[ 0.28755757 -0.20979626],[0.29381546 0.4452306 ],[-0.38242806 -0.40438279],[-0.0932377   0.19162881],[-0.00056825  0.03070173],[ 0.09462692 -0.18019179],[-0.29434168  0.22442145],[-0.2180375   0.41564318],[-0.01125261  0.43284376],[ 0.19140172 -0.35293185],[ 0.08467644 -0.36259374],[ 0.00991816 -0.15865713],[-0.2132671 -0.1976472],[-0.20562132  0.0417029 ],[-0.21857183 -0.40340559],[-0.30693718 -0.04682231],[-0.41319612  0.03355559],[0.10468878 0.04725339],[ 0.2105985  -0.04480939],[0.31247009 0.01581197],[ 0.18310642 -0.23448213],[-0.28752537 -0.40680774],[-0.2067878   0.19144988],[0.21999706 0.16416985],[-0.3869154  -0.19172771],[0.01593227 0.20188255],"[-0.39351851851851855, -0.32685185185185184, -0.32314814814814813, -0.3055555555555556, -0.11481481481481481, 0.08611111111111111, 0.0962962962962963, 0.17685185185185184, 0.26481481481481484, 0.2851851851851852, 0.2796296296296296, 0.12407407407407407, -0.08796296296296297, -0.43148148148148147, -0.42962962962962964, -0.4148148148148148, -0.4148148148148148, -0.08055555555555556, -0.018518518518518517, 0.26296296296296295, 0.3074074074074074, 0.3055555555555556, 0.287962962962963, 0.08981481481481482, -0.125, -0.3037037037037037, -0.37777777777777777, -0.08425925925925926, 0.01574074074074074]","[0.3888888888888889, 0.4064814814814815, 0.4064814814814815, 0.41203703703703703, 0.41759259259259257, 0.4324074074074074, 0.43148148148148147, 0.3527777777777778, 0.4287037037037037, 0.44166666666666665, 0.20833333333333334, 0.1814814814814815, 0.19166666666666668, 0.1962962962962963, 0.1962962962962963, 0.18518518518518517, 0.18518518518518517, 0.000925925925925926, 0.02962962962962963, -0.21574074074074073, -0.2, -0.20092592592592592, -0.20555555555555555, -0.19166666666666668, -0.23425925925925925, -0.1537037037037037, -0.39814814814814814, -0.43425925925925923, -0.3731481481481482]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.086506941142943, 2.335719861567668, 2.585582697289283, 3.2370195719749972, 3.6870214649325135, 4.1694151603633145, 4.4533094600383265, 5.004802702782399, 5.352319593668653, 5.603750879623476, 6.186494141146795, 7.569963997757441, 8.48608556286581, 9.535262186587715, 9.885639846567756, 10.23569930946087, 10.264473760908913, 10.999160188045607, 11.787366824452874, 14.284789698466739, 14.46760158719917, 14.750941821313063, 15.068104392681562, 15.6175249975513, 16.084783448703092, 16.701737554407373, 18.417957733570802, 19.43575814136784, 19.884765781102942]","['polygon_2', 'polygon_14', 'polygon_14', 'polygon_14', 'polygon_5', 'polygon_11', 'polygon', 'polygon_16', 'polygon_3', 'polygon_10', 'polygon_18', 'polygon_6', 'polygon_6', 'polygon_13', 'polygon_19', 'polygon_15', 'polygon_20', 'polygon_4', 'polygon_7', 'polygon_17', 'polygon_9', 'polygon_12']",122.08545740155296,122.08545740155296,002,001,2023-04-12_11h13.24.825,foraging_expt_polygons_hard_AB,2022.2.4,60.05637289861374,
