trialNo,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,mouse_2.started,polygon_example4.started,polygon_example3.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,instructions_text_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,polygon_5.started,polygon_6.started,polygon_7.started,polygon_8.started,polygon_9.started,polygon_10.started,polygon_11.started,polygon_12.started,polygon_13.started,polygon_14.started,polygon_15.started,polygon_16.started,polygon_17.started,polygon_18.started,polygon_19.started,polygon_20.started,polygon_21.started,polygon_22.started,polygon_23.started,polygon_24.started,polygon_25.started,polygon_26.started,polygon_27.started,polygon_28.started,polygon_29.started,polygon_30.started,polygon_31.started,polygon_32.started,polygon_33.started,polygon_34.started,polygon_35.started,polygon_36.started,polygon_37.started,polygon_38.started,polygon_39.started,polygon_40.started,mouse.started,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback_text_2.started,feedback_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.627354553283112,3.425351042096736e-05,10.627354553283112,10.627354553283112,[0.6564814814814814],[-0.1925925925925926],[1],[0],[0],[2.5511143508392706],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-04-12_10h16.36.036,foraging_expt_polygons_easy_B,2022.2.4,60.02875066284243,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.180754274327228,5.9793409036501544e-05,0.46574074074074073,-0.1425925925925926,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-04-12_10h16.36.036,foraging_expt_polygons_easy_B,2022.2.4,60.02875066284243,
29,0.1,0.2,0.2,0,0.3,0.4,0.2,0.4,-0.4,0.4,0.3,-0.2,0.2,-0.2,0,-0.2,-0.4,-0.4,0.3,-0.4,-0.2,-0.2,-0.3,0.2,0,0.2,0.1,-0.4,0,-0.4,-0.1,0,-0.2,0,0.2,0.2,-0.3,-0.2,0.3,0,-0.4,0,-0.3,0.4,0.2,-0.4,-0.3,-0.4,0.1,0.4,-0.2,0.2,-0.1,0.4,-0.1,-0.2,-0.4,0.2,-0.1,-0.4,-0.1,0.2,-0.4,-0.2,0.3,0.2,-0.2,-0.4,0.1,0,0,0.4,-0.2,0.4,-0.3,0,0,0,0.1,-0.2,0,0,0,28,,,,,,,,,,,,,,,,,,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,15.063644525477685,0.08650333551076983,[0.09730688 0.18645496],[0.18290201 0.00952191],[0.29064528 0.38193113],[0.20023754 0.3790316 ],[-0.38810077  0.40871401],[ 0.30925483 -0.2023447 ],[ 0.21162977 -0.18514847],[ 0.01294174 -0.20214096],[-0.38664921 -0.43374962],[ 0.28515528 -0.39209968],[-0.20261296 -0.19659041],[-0.30139804  0.20892898],[0.00638558 0.16935014],[ 0.09569342 -0.4097092 ],[ 0.01777125 -0.43283807],[-0.10379826  0.03407015],[-0.18437462 -0.03916241],[0.18019312 0.23081044],[-0.30706551 -0.20001765],[0.28724869 0.02833526],[-0.39726766 -0.02989902],[-0.31132495  0.39339981],[ 0.21932215 -0.39942292],[-0.30447188 -0.43044155],[0.09110633 0.39712537],[-0.20095095  0.18550355],[-0.09687336  0.38417684],[-0.11081105 -0.1879967 ],[-0.38792834  0.18332016],[-0.08343195 -0.37364674],[-0.08873771  0.18505278],[-0.39581346 -0.20706076],[0.29525023 0.23479837],[-0.20277387 -0.42564073],[0.09537053 0.03847165],[0.00924718 0.39845137],[-0.18894131  0.42934373],[-0.28822349  0.02756514],[-0.00966585  0.00764001],[ 0.11128278 -0.16602534],"[0.46574074074074073, 0.29074074074074074, 0.20925925925925926, 0.1962962962962963, 0.18055555555555555, 0.08518518518518518, 0.008333333333333333, -0.3194444444444444, -0.38796296296296295, -0.1814814814814815, -0.10648148148148148, -0.17222222222222222, -0.19907407407407407, -0.17777777777777778, -0.31574074074074077, -0.38981481481481484, -0.39814814814814814, 0.026851851851851852, 0.09351851851851851, 0.018518518518518517, 0.20925925925925926, 0.16944444444444445, 0.262037037037037, 0.2814814814814815, 0.3212962962962963, 0.2814814814814815]","[-0.1425925925925926, 0.37777777777777777, 0.3731481481481482, 0.3731481481481482, 0.2324074074074074, 0.17777777777777778, 0.1712962962962963, 0.21203703703703702, 0.4166666666666667, -0.018518518518518517, 0.046296296296296294, -0.03333333333333333, -0.20462962962962963, -0.046296296296296294, -0.1962962962962963, -0.45925925925925926, -0.425, -0.43333333333333335, -0.41203703703703703, -0.21203703703703702, -0.17777777777777778, 0.023148148148148147, 0.021296296296296296, 0.021296296296296296, -0.2, -0.38796296296296295]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0019007693817911786, 1.3528925888022059, 1.8346423783236787, 2.718041925095349, 3.535791012719983, 4.2179238406238255, 4.60234708661892, 5.118308922198139, 5.801213355503933, 6.416679236303025, 6.833359674483745, 7.181806818612131, 7.817273745044531, 8.333971730637586, 8.84993446762519, 9.5005940279907, 10.083790397358825, 10.700173310746322, 11.083956857402882, 11.633668316644162, 12.150541776363298, 12.76681712170739, 13.150328443093713, 13.617122068094886, 14.26650733776296, 14.847410825191218]","['polygon_3', 'polygon_4', 'polygon_18', 'polygon', 'polygon_13', 'polygon_12', 'polygon_5', 'polygon_16', 'polygon_17', 'polygon_11', 'polygon_17', 'polygon_19', 'polygon_9', 'polygon_15', 'polygon_14', 'polygon_8', 'polygon_7', 'polygon_2', 'polygon_20', 'polygon_6', 'polygon_10']",29.928195026269805,29.928195026269805,001,001,2023-04-12_10h16.36.036,foraging_expt_polygons_easy_B,2022.2.4,60.02875066284243,
35,-0.1,-0.4,-0.2,-0.4,0.1,-0.4,-0.2,0,0.3,-0.4,0.1,0.4,-0.2,0.4,-0.1,-0.2,-0.3,0.2,0.1,0.2,-0.1,0,-0.4,-0.2,0.2,0.4,0,0.4,0,-0.4,0.1,-0.2,0.2,0.2,0.1,0,0.3,0.2,-0.3,-0.2,-0.1,0.4,-0.1,0.2,0.2,-0.4,-0.2,-0.2,-0.3,0.4,0,0,-0.4,0,0.3,0,0,0.2,0.3,-0.2,-0.4,0.2,0.3,0.4,0.2,0,0,-0.2,-0.3,0,0.2,-0.2,-0.2,0.2,-0.3,-0.4,-0.4,0.4,-0.4,-0.4,0,1,1,34,,,,,,,,,,,,,,,,,,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,31.961145100876365,0.03151473231491764,[-0.10700175 -0.4036664 ],[-0.18133014 -0.40912837],[ 0.0851153  -0.44361553],[-0.19021843 -0.03407637],[ 0.2943714  -0.36260741],[0.11020266 0.44449905],[-0.18168391  0.35406809],[-0.11221406 -0.15358313],[-0.28905152  0.15848918],[0.09421493 0.22982587],[-0.09378371 -0.01080623],[-0.38788466 -0.17528038],[0.1944871  0.42918928],[0.01456338 0.38981799],[ 0.01207603 -0.39634242],[ 0.08975694 -0.22346704],[0.2090195  0.17523765],[ 0.09465798 -0.03268126],[0.30701962 0.19043717],[-0.28790324 -0.19187423],[-0.11061585  0.44337873],[-0.1196142   0.24745838],[ 0.186721   -0.37992047],[-0.20984524 -0.22783757],[-0.28971309  0.42846921],[0.00231175 0.04338547],[-0.40537091  0.04313695],[0.30526799 0.00139456],[-0.01308839  0.20328095],[ 0.28945389 -0.15719831],[-0.3988182   0.21569644],[0.28080967 0.41823388],[ 0.20575526 -0.01688776],[ 0.01483671 -0.15964808],[-0.30514481 -0.02465944],[ 0.18339646 -0.22597931],[-0.21569794  0.24578087],[-0.31114883 -0.40810514],[-0.38659022  0.39705636],[-0.40632282 -0.36394975],"[0.11296296296296296, 0.18518518518518517, 0.019444444444444445, -0.17222222222222222, -0.28055555555555556, 0.11203703703703703, 0.2175925925925926, 0.3, -0.1037037037037037, 0.09074074074074075, 0.30277777777777776, 0.06481481481481481, 0.09166666666666666, -0.10277777777777777, -0.17962962962962964, -0.2898148148148148, -0.38333333333333336, -0.18981481481481483, -0.11851851851851852, -0.006481481481481481, 0.09814814814814815, 0.08796296296296297, 0.2833333333333333]","[0.4462962962962963, 0.44537037037037036, 0.4009259259259259, 0.3611111111111111, 0.16666666666666666, 0.22592592592592592, 0.18055555555555555, 0.19814814814814816, -0.006481481481481481, -0.021296296296296296, 0.18055555555555555, -0.2175925925925926, -0.21388888888888888, -0.1527777777777778, -0.03148148148148148, -0.17962962962962964, -0.17592592592592593, -0.425, -0.39537037037037037, -0.3925925925925926, -0.44722222222222224, -0.4462962962962963, -0.3712962962962963]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.244875644732474, 1.7658423989960284, 2.248187418384987, 2.729805001373279, 3.2990049054633346, 3.84777259034081, 4.499061033146063, 4.8484705807413775, 5.565090985136976, 5.980851686505048, 6.564185670855295, 7.146996237522217, 7.630333406848422, 8.14790515743698, 8.664455011619339, 9.247690742477971, 9.663327049516738, 10.54761268052971, 11.063398441044683, 11.71401323147029, 12.296349056496183, 12.714009325368352, 13.331548444980854]","['polygon_6', 'polygon_13', 'polygon_14', 'polygon_7', 'polygon_9', 'polygon_10', 'polygon_17', 'polygon_19', 'polygon_11', 'polygon_18', 'polygon_19', 'polygon_16', 'polygon_8', 'polygon_4', 'polygon_20', 'polygon_12', 'polygon_2', 'polygon', 'polygon_15', 'polygon_3', 'polygon_5']",45.29246188395473,45.29246188395473,001,001,2023-04-12_10h16.36.036,foraging_expt_polygons_easy_B,2022.2.4,60.02875066284243,
13,0,-0.2,-0.2,0,-0.3,-0.2,-0.2,0.4,0.1,0,0.1,0.4,0.1,-0.4,0.3,0.4,0.3,-0.4,-0.3,0,0.2,0.2,0,-0.4,-0.3,-0.4,-0.2,-0.4,0.1,-0.2,0,0.4,0.3,0,0.2,-0.4,0.3,-0.2,0.1,0.2,-0.4,0.4,-0.1,0.2,0.2,0.4,0,0.2,-0.1,-0.2,-0.4,0.2,-0.4,0,-0.3,0.2,-0.4,-0.2,-0.4,-0.4,-0.1,0,0.3,0.2,-0.3,0.4,-0.2,-0.2,0.2,-0.2,-0.1,-0.4,-0.1,0.4,-0.2,0.2,0.2,0,0,0,0,2,2,12,,,,,,,,,,,,,,,,,,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,47.30891318417616,0.025742414800788538,[ 0.01440906 -0.174696  ],[-0.21553595  0.04542852],[-0.28288026 -0.19242424],[-0.20352266  0.39741797],[ 0.10488619 -0.04023425],[0.11658622 0.43295009],[ 0.08256538 -0.42654283],[0.30858064 0.42581982],[ 0.29114716 -0.41551024],[-0.29085687 -0.01294626],[0.18660683 0.22774264],[ 0.00662553 -0.40598005],[-0.29613161 -0.41943902],[-0.21455171 -0.44346685],[ 0.08832921 -0.15547779],[-0.01128403  0.354175  ],[ 0.29103897 -0.02295355],[ 0.18459378 -0.36185127],[ 0.28106854 -0.17414881],[0.11742279 0.22502315],[-0.39246026  0.41427467],[-0.08979695  0.24354087],[0.20974156 0.37440718],[-0.00742192  0.23906628],[-0.11739477 -0.21168612],[-0.41924603  0.20623241],[-0.39380324  0.00516997],[-0.30088769  0.17126304],[-0.41634002 -0.20159121],[-0.3886689  -0.44282845],[-0.11778383  0.04895998],[0.2979122  0.19214641],[-0.28174555  0.36740747],[-0.19532238 -0.21672645],[ 0.20871703 -0.16755002],[-0.09976895 -0.36015904],[-0.09336286  0.40166038],[-0.21121902  0.23593666],[0.18731007 0.04291123],[0.01596941 0.0351576 ],"[0.2935185185185185, 0.2638888888888889, 0.2916666666666667, 0.18888888888888888, 0.08703703703703704, 0.001851851851851852, -0.2212962962962963, -0.28425925925925927, -0.2861111111111111, 0.012037037037037037, 0.08981481481481482, 0.0962962962962963, -0.3, -0.21574074074074073, -0.19814814814814816, -0.025925925925925925, 0.12222222222222222, 0.11018518518518519, 0.17962962962962964, 0.3037037037037037]","[-0.028703703703703703, -0.1712962962962963, -0.4203703703703704, -0.36944444444444446, -0.4212962962962963, -0.39814814814814814, -0.43425925925925923, -0.4074074074074074, -0.18981481481481483, -0.1638888888888889, -0.14444444444444443, -0.05185185185185185, -0.01574074074074074, 0.05462962962962963, 0.3972222222222222, 0.3592592592592593, 0.4324074074074074, 0.24537037037037038, 0.2351851851851852, 0.41759259259259257]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.732210859805491, 1.3476920645434802, 2.0507805293432284, 2.532643295356138, 2.950479338823243, 3.4661512214383947, 4.082309383719348, 4.465329738116907, 5.1814588750548864, 6.098081923581049, 6.681767457121623, 7.149392180464474, 7.849300477205816, 8.265157328778969, 9.115114031139456, 9.681567344505766, 10.131043115555258, 10.780736967290522, 11.1644610210069, 11.647019674135208]","['polygon_17', 'polygon_19', 'polygon_9', 'polygon_18', 'polygon_7', 'polygon_12', 'polygon_14', 'polygon_13', 'polygon_3', 'polygon', 'polygon_15', 'polygon_5', 'polygon_10', 'polygon_2', 'polygon_4', 'polygon_16', 'polygon_6', 'polygon_20', 'polygon_11', 'polygon_8']",58.97396342566344,58.97396342566344,001,001,2023-04-12_10h16.36.036,foraging_expt_polygons_easy_B,2022.2.4,60.02875066284243,
10,-0.1,-0.4,-0.2,-0.2,0,0,0.1,0,0,-0.2,-0.3,0.4,-0.1,0.4,-0.3,0,-0.3,-0.2,0.3,0.2,-0.1,-0.2,0.1,0.4,0.2,0.2,0.2,-0.2,0.2,0.4,-0.2,0.4,-0.4,-0.4,-0.3,-0.4,0.3,0,-0.3,0.2,0.3,-0.2,-0.4,0,-0.1,0.2,0.1,-0.4,0,-0.4,0.2,-0.4,-0.4,0.2,-0.2,0,-0.1,0,0.2,0,0.1,0.2,0,0.2,0.3,0.4,-0.4,0.4,-0.2,0.2,-0.4,-0.2,0.3,-0.4,0.1,-0.2,0,0.4,-0.2,-0.4,0,3,3,9,,,,,,,,,,,,,,,,,,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,61.006854307799586,0.035277510527066624,[-0.09791721 -0.43136878],[-0.1899578  -0.16002438],[ 0.00501424 -0.01596261],[ 0.11797117 -0.029245  ],[ 0.00522644 -0.19920067],[-0.30104674  0.39869755],[-0.09847291  0.41236581],[-3.04211832e-01 -1.74837347e-04],[-0.30343004 -0.18066793],[0.31296128 0.21715862],[-0.11690623 -0.19887548],[0.10026551 0.43008665],[0.21049922 0.15837461],[ 0.20767602 -0.2334692 ],[0.18939378 0.35691181],[-0.19590036  0.44368212],[-0.38031203 -0.40856133],[-0.31239451 -0.41559327],[0.31614334 0.03368838],[-0.31924056  0.22080447],[ 0.31449302 -0.20542896],[-0.40659878 -0.00210559],[-0.11085802  0.16972046],[ 0.08721582 -0.41339311],[ 0.01216823 -0.36214026],[ 0.19762322 -0.37591851],[-0.4113505  0.1883547],[-0.1854626  -0.04532961],[-0.11797678  0.02096587],[ 0.18122431 -0.0288477 ],[0.10786224 0.24313087],[-0.01361005  0.20039542],[0.28711727 0.36560318],[-0.38930558  0.37272289],[-0.18458852  0.16190104],[-0.39040077 -0.23684224],[ 0.30404099 -0.37237505],[ 0.10138858 -0.17209008],[0.00761703 0.35172891],[-0.2079839  -0.37714772],"[-0.2953703703703704, -0.21203703703703702, -0.11018518518518519, 0.10185185185185185, 0.18518518518518517, 0.3, 0.19166666666666668, -0.30925925925925923, -0.2861111111111111, -0.003703703703703704, 0.021296296296296296, 0.11203703703703703, 0.21203703703703702, 0.31203703703703706, 0.21203703703703702, -0.005555555555555556, -0.11296296296296296, -0.1962962962962963, -0.28425925925925927, -0.3055555555555556, -0.3685185185185185, -0.0962962962962963]","[0.3972222222222222, 0.4425925925925926, 0.4203703703703704, 0.43333333333333335, 0.35648148148148145, 0.21851851851851853, 0.16666666666666666, 0.2212962962962963, 0.003703703703703704, -0.004629629629629629, -0.014814814814814815, -0.014814814814814815, 0.16296296296296298, 0.03518518518518519, -0.23148148148148148, -0.20277777777777778, -0.19907407407407407, -0.14351851851851852, -0.16666666666666666, -0.4046296296296296, -0.40370370370370373, -0.43148148148148147]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.273829476408082, 1.8575952352766762, 2.273324387358116, 2.9242096002376456, 3.474332402078744, 4.1208259543059285, 4.50590332217007, 5.470966844404302, 6.039564006891851, 6.655758225499994, 7.23914839762665, 7.756257124880449, 8.306643738848834, 8.788294673939617, 9.53883657049073, 10.089042602353402, 10.60471298262155, 11.155156385305418, 11.73813521483271, 12.388838944198596, 12.803511946362505, 13.638665723593476]","['polygon_6', 'polygon_16', 'polygon_7', 'polygon_12', 'polygon_15', 'polygon_10', 'polygon_20', 'polygon_8', 'polygon_3', 'polygon_4', 'polygon_13', 'polygon_19', 'polygon_14', 'polygon_5', 'polygon_11', 'polygon_2', 'polygon_18', 'polygon_17', 'polygon']",74.65483127742164,74.65483127742164,001,001,2023-04-12_10h16.36.036,foraging_expt_polygons_easy_B,2022.2.4,60.02875066284243,
2,0.2,0,0,0,-0.1,0,0.1,0,-0.4,-0.4,-0.2,0.4,0.3,-0.2,-0.1,-0.2,0.1,-0.2,0.2,0.2,-0.4,0,-0.3,0.2,0.3,0,0.3,-0.4,0.2,-0.2,0.3,0.4,0,-0.2,-0.3,-0.4,0,-0.4,-0.3,0.4,0.1,0.2,-0.4,0.2,-0.3,0,0.2,0.4,0.1,-0.4,-0.2,0.2,-0.4,-0.2,0.1,0.4,-0.1,0.4,0,0.2,-0.4,0.4,0.2,-0.4,-0.1,-0.4,-0.2,0,-0.3,-0.2,0.3,0.2,0,0.4,-0.2,-0.2,-0.1,0.2,-0.2,-0.4,0,4,4,1,,,,,,,,,,,,,,,,,,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,76.68770503280211,0.035794618353065744,[ 0.20169976 -0.03034766],[-0.00815956 -0.00062013],[-0.09642985 -0.0154623 ],[0.09354234 0.01794072],[-0.38318258 -0.42443054],[-0.20852593  0.3687773 ],[ 0.31035341 -0.20983671],[-0.11578129 -0.2208815 ],[ 0.10209492 -0.21758445],[0.20239044 0.2315782 ],[-0.38208661  0.00127922],[-0.29573813  0.22298373],[0.30080695 0.00278068],[ 0.31896281 -0.42970096],[ 0.20654752 -0.22549138],[0.31890369 0.37481862],[-0.00395771 -0.24757655],[-0.28178655 -0.38289404],[ 0.01359454 -0.41657758],[-0.31011669  0.43164628],[0.09135208 0.19807578],[-0.40176712  0.18850274],[-0.28139101  0.01704995],[0.18034417 0.38655454],[ 0.10689532 -0.3834081 ],[-0.19553589  0.18704692],[-0.40050887 -0.23970199],[0.08375437 0.43655588],[-0.08756368  0.35579846],[0.00452485 0.20521124],[-0.41207419  0.36310582],[ 0.19672131 -0.43224179],[-0.11385649 -0.35977541],[-0.21009622  0.02412078],[-0.30622062 -0.20446935],[0.3001179  0.23748111],[-0.00287176  0.38051233],[-0.2119665  -0.24761574],[-0.10455192  0.19890939],[-0.2170261  -0.40164298],"[-0.19722222222222222, -0.29814814814814816, -0.31574074074074077, 0.19444444444444445, 0.3212962962962963, 0.30277777777777776, 0.20462962962962963, 0.0962962962962963, -0.024074074074074074, -0.019444444444444445, -0.0962962962962963, -0.3925925925925926, -0.11574074074074074, -0.003703703703703704, 0.10185185185185185, 0.20925925925925926, 0.30648148148148147, 0.31851851851851853, 0.020370370370370372, -0.2777777777777778, -0.3787037037037037]","[0.3712962962962963, 0.43425925925925923, 0.22407407407407406, 0.23703703703703705, 0.37407407407407406, 0.011111111111111112, -0.023148148148148147, -0.000925925925925926, 0.001851851851851852, 0.007407407407407408, -0.006481481481481481, 0.012962962962962963, -0.21666666666666667, -0.23703703703703705, -0.21296296296296297, -0.21666666666666667, -0.2101851851851852, -0.4148148148148148, -0.4111111111111111, -0.38055555555555554, -0.42407407407407405]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.605765226436688, 1.088925118820498, 1.6065749914514527, 2.287547406558133, 2.7058014029516926, 3.372009953950055, 3.988340285193317, 4.504963754377059, 4.968832309834397, 5.439559680131879, 5.821273293138347, 6.470409774149175, 7.087358771873369, 7.471879069481929, 7.904492498180389, 8.236799327909921, 8.621187118516445, 9.10396451336237, 9.58784583275974, 10.218644065759236, 10.820885988090595]","['polygon_6', 'polygon_20', 'polygon_12', 'polygon_10', 'polygon_16', 'polygon_13', 'polygon', 'polygon_4', 'polygon_2', 'polygon_3', 'polygon_11', 'polygon_8', 'polygon_17', 'polygon_9', 'polygon_15', 'polygon_7', 'polygon_14', 'polygon_19', 'polygon_18', 'polygon_5']",87.51951819131818,87.51951819131818,001,001,2023-04-12_10h16.36.036,foraging_expt_polygons_easy_B,2022.2.4,60.02875066284243,
