trialNo,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y,p21_x,p21_y,p22_x,p22_y,p23_x,p23_y,p24_x,p24_y,p25_x,p25_y,p26_x,p26_y,p27_x,p27_y,p28_x,p28_y,p29_x,p29_y,p30_x,p30_y,p31_x,p31_y,p32_x,p32_y,p33_x,p33_y,p34_x,p34_y,p35_x,p35_y,p36_x,p36_y,p37_x,p37_y,p38_x,p38_y,p39_x,p39_y,p40_x,p40_y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,mouse_2.started,polygon_example7.started,polygon_example8.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,instructions_text_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,polygon.started,polygon_2.started,polygon_3.started,polygon_4.started,polygon_5.started,polygon_6.started,polygon_7.started,polygon_8.started,polygon_9.started,polygon_10.started,polygon_11.started,polygon_12.started,polygon_13.started,polygon_14.started,polygon_15.started,polygon_16.started,polygon_17.started,polygon_18.started,polygon_19.started,polygon_20.started,polygon_21.started,polygon_22.started,polygon_23.started,polygon_24.started,polygon_25.started,polygon_26.started,polygon_27.started,polygon_28.started,polygon_29.started,polygon_30.started,polygon_31.started,polygon_32.started,polygon_33.started,polygon_34.started,polygon_35.started,polygon_36.started,polygon_37.started,polygon_38.started,polygon_39.started,polygon_40.started,mouse.started,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback_text_2.started,feedback_text.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.106685864657948,3.695773534673208e-05,13.106685864657948,13.106685864657948,[0.2740740740740741],[-0.15648148148148147],[1],[0],[0],[13.370335438021357],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-04-12_10h12.05.288,foraging_expt_polygons_hard_AB,2022.2.4,60.0165183441434,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.471380290289517,1.8929571751868934e-05,0.22685185185185186,-0.25462962962962965,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-04-12_10h12.05.288,foraging_expt_polygons_hard_AB,2022.2.4,60.0165183441434,
33,0.1,0.4,-0.3,0.4,-0.1,0,-0.2,0,0.2,-0.4,0.2,0.4,0.3,-0.2,0.2,0.2,0.3,-0.4,0,0.2,-0.4,0.4,-0.1,-0.2,-0.3,0,0.1,-0.2,-0.4,-0.2,-0.2,-0.4,0.3,0.4,-0.3,0.2,-0.2,0.4,0,-0.4,-0.2,-0.2,-0.1,-0.4,-0.4,-0.4,0,0,0.1,-0.4,0.3,0.2,0.2,-0.2,0.1,0,0,-0.2,-0.4,0,-0.2,0.2,-0.3,-0.2,-0.4,0.2,-0.1,0.2,-0.3,-0.4,-0.1,0.4,0.1,0.2,0.2,0,0,0.4,0.3,0,0,0,0,32,,,,,,,,,,,,,,,,,,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,34.58673199271925,0.07277518940077243,[0.09975445 0.3702168 ],[-0.31222701  0.37491903],[-0.1058219  -0.03105021],[-0.18131659  0.03813251],[ 0.19141538 -0.36848156],[0.21938495 0.36213645],[ 0.30831015 -0.15167746],[0.20420081 0.22921332],[ 0.31767401 -0.39939704],[-0.00886501  0.17558386],[-0.40090244  0.36761173],[-0.11037174 -0.21245042],[-0.29834345  0.04875796],[ 0.10152167 -0.16639663],[-0.39111502 -0.22132266],[-0.20328811 -0.39260215],[0.30074537 0.43235716],[-0.28750404  0.16892274],[-0.21423449  0.4027983 ],[ 0.01858292 -0.36938495],[-0.18699388 -0.15665446],[-0.10208191 -0.37190883],[-0.39433287 -0.43803032],[-0.01978605 -0.03899645],[ 0.09260651 -0.42640692],[0.29068226 0.1836095 ],[ 0.203124   -0.16411711],[ 0.08470217 -0.04005869],[ 0.0127998  -0.18317236],[-0.38792825 -0.03648321],[-0.20114354  0.20394079],[-0.28305478 -0.22402068],[-0.38161458  0.23341916],[-0.09645184  0.16099427],[-0.3182647  -0.36984665],[-0.0999121   0.37954869],[0.09622604 0.15600877],[ 0.20196163 -0.00671442],[-0.01760643  0.42515502],[ 0.28249328 -0.01276285],"[0.22685185185185186, -0.2935185185185185, -0.30462962962962964, -0.18333333333333332, -0.09722222222222222, -0.3925925925925926, -0.39537037037037037, -0.2175925925925926, -0.3111111111111111, 0.09907407407407408, 0.2212962962962963, 0.29907407407407405, 0.20462962962962963]","[-0.25462962962962965, 0.1787037037037037, 0.05555555555555555, 0.032407407407407406, -0.03425925925925926, -0.23148148148148148, 0.37037037037037035, 0.4064814814814815, 0.37037037037037035, 0.3768518518518518, 0.3611111111111111, 0.4287037037037037, 0.24074074074074073]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0018211449928458023, 1.5624225164551717, 2.2621712639486304, 3.0284950149123233, 4.99506989819497, 7.295077470023671, 9.7279318751755, 11.327843957830964, 12.994002630910018, 14.627052281073475, 15.826892972201222, 16.56047487384808, 17.45977375856569]","['polygon_18', 'polygon_13', 'polygon_4', 'polygon_3', 'polygon_15', 'polygon_11', 'polygon_19', 'polygon_2', 'polygon', 'polygon_6', 'polygon_17', 'polygon_8']",54.51716281174458,54.51716281174458,001,001,2023-04-12_10h12.05.288,foraging_expt_polygons_hard_AB,2022.2.4,60.0165183441434,
34,-0.4,0,-0.3,-0.2,0.1,-0.4,-0.2,-0.4,-0.1,-0.4,0.3,0,-0.4,-0.2,0.1,0,0.1,0.4,0,0.4,0.2,-0.2,-0.1,0.2,0.3,-0.2,0.1,0.2,-0.1,0.4,0.3,0.4,0.2,0.2,-0.1,-0.2,0.2,0.4,-0.3,0.2,-0.2,0,-0.3,0.4,-0.2,-0.2,0.3,-0.4,-0.2,0.2,-0.4,0.2,0,-0.4,0,0,-0.1,0,-0.4,0.4,0.2,-0.4,-0.2,0.4,0.2,0,0,0.2,0.1,-0.2,0,-0.2,-0.3,-0.4,-0.4,-0.4,0.3,0.2,-0.3,0,0,1,1,33,,,,,,,,,,,,,,,,,,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,56.52946943715483,0.022695354683037294,[-0.40249267 -0.03509438],[-0.29126536 -0.23602196],[ 0.08740254 -0.35811523],[-0.20324809 -0.42517615],[-0.08767558 -0.42008064],[0.31612426 0.00592315],[-0.41344136 -0.18036249],[0.11092188 0.02814977],[0.10524888 0.39997695],[0.00749704 0.3511688 ],[ 0.21304137 -0.22445032],[-0.08602306  0.22893392],[ 0.30911165 -0.21035572],[0.11000393 0.18424104],[-0.08235458  0.41932126],[0.28171771 0.44047476],[0.21427263 0.23547004],[-0.1019311  -0.17913298],[0.21297083 0.37257865],[-0.28841386  0.23380003],[-0.19942328 -0.00729782],[-0.29156362  0.40629214],[-0.21201    -0.21953607],[ 0.29161315 -0.37124087],[-0.20842971  0.19186842],[-0.40865471  0.16802202],[ 0.01601452 -0.36332255],[-0.00666539  0.04607358],[-0.08677265 -0.04527319],[-0.38193688  0.39552761],[ 0.20470492 -0.3641149 ],[-0.21357289  0.43165432],[ 0.18897602 -0.0427224 ],[0.01899521 0.15209016],[ 0.09117151 -0.18280184],[ 0.01338575 -0.18082709],[-0.31516184 -0.35018052],[-0.39589128 -0.42766645],[0.31933611 0.2015797 ],[-0.28834987  0.01535697],"[-0.2972222222222222, -0.0712962962962963, 0.10925925925925926, 0.21481481481481482, 0.2851851851851852, 0.09166666666666666, 0.09259259259259259, 0.10555555555555556, -0.09351851851851851, -0.4027777777777778, -0.42407407407407405, -0.29259259259259257, -0.2074074074074074, 0.09074074074074075, 0.21666666666666667, 0.2935185185185185]","[0.24814814814814815, 0.4212962962962963, 0.4074074074074074, 0.37592592592592594, 0.43703703703703706, 0.17685185185185184, 0.17592592592592593, 0.18796296296296297, 0.22685185185185186, -0.03611111111111111, -0.18796296296296297, -0.24351851851851852, -0.42685185185185187, -0.34814814814814815, -0.22962962962962963, -0.2101851851851852]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.6811848469678807, 4.113999289690355, 4.747155306019067, 5.447220748252903, 5.91378180994343, 7.178188265708513, 7.913039951011342, 8.61340075465887, 9.246938066647544, 11.112943740711671, 11.879584486885278, 12.512521160557071, 13.912441415980084, 16.046442352242593, 17.37962745400864, 17.945414025791024]","['polygon_20', 'polygon_15', 'polygon_9', 'polygon_19', 'polygon_16', 'polygon_14', 'polygon_12', 'polygon', 'polygon_7', 'polygon_2', 'polygon_4', 'polygon_3', 'polygon_11', 'polygon_13']",76.54716227690915,76.54716227690915,001,001,2023-04-12_10h12.05.288,foraging_expt_polygons_hard_AB,2022.2.4,60.0165183441434,
11,-0.1,0.2,0.3,0.2,-0.4,-0.4,0.3,-0.2,0.3,0.4,-0.3,-0.2,-0.1,0.4,0.1,-0.4,-0.1,-0.4,0.2,0,0.2,-0.4,-0.3,-0.4,-0.2,0,0.1,-0.2,-0.3,0,0.3,0,-0.2,-0.2,-0.4,0.4,0.1,0,-0.4,-0.2,-0.2,0.4,0,-0.2,0,0.4,0.1,0.4,0.3,-0.4,0.2,0.4,0.2,0.2,0.2,-0.2,-0.3,0.4,0,-0.4,-0.3,0.2,-0.4,0,-0.1,0,-0.2,0.2,0.1,0.2,-0.2,-0.4,0,0.2,0,0,-0.1,-0.2,-0.4,0.2,0,2,2,10,,,,,,,,,,,,,,,,,,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,78.53020318341328,0.015381929650402526,[-0.10200701  0.19735766],[0.28718136 0.22146121],[-0.41248775 -0.37814742],[ 0.28469735 -0.19472118],[0.28815606 0.38190424],[-0.31134765 -0.22576356],[-0.10703843  0.37081418],[ 0.09208622 -0.37522447],[-0.0888962  -0.36683511],[0.19824719 0.01396191],[ 0.18234436 -0.41760848],[-0.29181544 -0.39744211],[-0.19689958 -0.01761694],[ 0.08226639 -0.17081678],[-0.29394198 -0.04993388],[ 0.31199947 -0.02567537],[-0.19155837 -0.18383403],[-0.39985239  0.44651457],[0.10556885 0.01237052],[-0.40957909 -0.21953173],[-0.18786037  0.37305631],[-0.00366486 -0.18122779],[0.0037383 0.3904364],[0.09018557 0.44989035],[ 0.29099418 -0.42835991],[0.19139066 0.3865714 ],[0.21194807 0.16521982],[ 0.21184287 -0.15330206],[-0.30873952  0.42811295],[-0.00572333 -0.41138983],[-0.30914027  0.15708682],[-0.38103638 -0.02754952],[-0.11496729 -0.0011288 ],[-0.20992327  0.24854326],[0.10485134 0.1740792 ],[-0.18260164 -0.36149162],[-0.00952351  0.2365604 ],[0.01767976 0.0482064 ],[-0.09753025 -0.17257971],[-0.38518924  0.24575084],"[-0.2814814814814815, -0.4185185185185185, -0.287962962962963, -0.30462962962962964, -0.4148148148148148, -0.31666666666666665, -0.28703703703703703, -0.08703703703703704, 0.09537037037037037, 0.19722222222222222, 0.07685185185185185, 0.2777777777777778, 0.3175925925925926, 0.19166666666666668, 0.10833333333333334, -0.10740740740740741]","[-0.05462962962962963, -0.22037037037037038, -0.21574074074074073, -0.2212962962962963, -0.37222222222222223, -0.40370370370370373, -0.40925925925925927, -0.3527777777777778, -0.3768518518518518, -0.42777777777777776, -0.17685185185185184, -0.18611111111111112, -0.028703703703703703, 0.013888888888888888, 0.023148148148148147, 0.19814814814814816]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.469305549128876, 3.2360081919975983, 3.6675038745527218, 4.068111603947727, 4.834506265688333, 6.467233512192706, 7.267629590947081, 8.000843117117483, 9.033796196418052, 10.56712095635794, 12.500749671136191, 14.001107229714307, 15.099893153083713, 15.90015071544758, 16.599980890146526, 18.46630055472656]","['polygon_15', 'polygon_20', 'polygon_6', 'polygon_3', 'polygon_12', 'polygon_9', 'polygon_8', 'polygon_11', 'polygon_14', 'polygon_4', 'polygon_16', 'polygon_10', 'polygon_19', 'polygon']",98.52729433921695,98.52729433921695,001,001,2023-04-12_10h12.05.288,foraging_expt_polygons_hard_AB,2022.2.4,60.0165183441434,
19,-0.2,0.2,0.2,0.4,0,-0.4,-0.4,0.2,0.1,0,0,0.2,-0.3,-0.2,-0.3,0,-0.1,0.2,0.1,-0.2,0,0.4,-0.4,-0.2,-0.2,0,-0.2,-0.2,-0.3,0.2,0.3,-0.2,-0.2,-0.4,0.2,-0.2,-0.4,0,-0.4,-0.4,-0.2,0.4,0.2,-0.4,-0.1,-0.4,0.1,-0.4,-0.4,0.4,0.2,0,0.1,0.4,0.3,-0.4,0.1,0.2,0.3,0.2,0.3,0.4,0.3,0,0,0,-0.1,0,0.2,0.2,-0.1,-0.2,0,-0.2,-0.3,-0.4,-0.3,0.4,-0.1,0.4,0,3,3,18,,,,,,,,,,,,,,,,,,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,100.52695540974128,0.013098362261416696,[-0.1809539   0.23823296],[0.20422895 0.44962937],[-0.00480478 -0.39127873],[-0.39750125  0.20899168],[ 0.10277771 -0.02671076],[-0.01438041  0.16581477],[-0.29225953 -0.19299083],[-0.29888274 -0.02421153],[-0.11736998  0.19311293],[ 0.10586703 -0.18860312],[-0.01331987  0.370943  ],[-0.39535631 -0.20331507],[-0.19946734  0.04705476],[-0.21605074 -0.17153667],[-0.29110516  0.15029051],[ 0.30682273 -0.22523661],[-0.18093045 -0.43078191],[ 0.18584029 -0.16521489],[-0.39511731  0.01030979],[-0.41236534 -0.4465115 ],[-0.21195187  0.39267224],[ 0.21375089 -0.42891618],[-0.08692088 -0.43329416],[ 0.10350359 -0.42877395],[-0.41434781  0.36674484],[ 0.20366719 -0.00160398],[0.10401237 0.4393003 ],[ 0.28306043 -0.39900959],[0.10370995 0.22376748],[0.28951813 0.19701985],[0.30709178 0.40781139],[ 0.30653132 -0.04660697],[ 0.01345242 -0.03364303],[-0.08416556  0.00604838],[0.18513368 0.15413562],[-0.08351639 -0.1559145 ],[-0.00827138 -0.24758966],[-0.29608376 -0.41798018],[-0.28703258  0.41972341],[-0.10322558  0.44733895],"[-0.2814814814814815, -0.017592592592592594, -0.1111111111111111, 0.19722222222222222, 0.11666666666666667, 0.3138888888888889, -0.18981481481481483, -0.4064814814814815]","[0.14351851851851852, 0.3768518518518518, 0.19444444444444445, -0.17314814814814813, -0.1962962962962963, -0.23425925925925925, -0.42962962962962964, -0.44351851851851853]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[3.634550494782843, 8.867143852125764, 10.566675961186547, 12.966359446727665, 13.366230124700678, 14.565988787684091, 17.099044026578213, 19.232176906763698]","['polygon_15', 'polygon_11', 'polygon_9', 'polygon_18', 'polygon_10', 'polygon_16', 'polygon_17', 'polygon_20']",120.5239495139308,120.5239495139308,001,001,2023-04-12_10h12.05.288,foraging_expt_polygons_hard_AB,2022.2.4,60.0165183441434,
14,-0.3,-0.4,-0.4,0.4,-0.2,0.4,-0.2,0,0.2,0,0.2,-0.4,0.3,-0.2,-0.3,0.2,0.2,0.2,0.1,-0.4,0.3,-0.4,0.2,0.4,-0.2,-0.4,-0.1,0.4,0.2,-0.2,0,-0.2,-0.1,0.2,0.1,0.4,-0.1,0,-0.4,0,0.3,0.2,0,-0.4,0.3,0.4,-0.2,0.2,-0.3,-0.2,-0.2,-0.2,-0.4,-0.2,0.1,-0.2,0,0.4,-0.4,0.2,0.3,0,0.1,0,-0.4,-0.4,-0.1,-0.2,-0.3,0.4,0,0.2,-0.3,0,-0.1,-0.4,0.1,0.2,0,0,0,4,4,13,,,,,,,,,,,,,,,,,,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,122.52364153280269,0.010390532089104454,[-0.31671327 -0.37192217],[-0.41467343  0.37700467],[-0.18011898  0.35791692],[-0.19516179 -0.02263147],[ 0.19148497 -0.01534348],[ 0.20566343 -0.4014602 ],[ 0.28877556 -0.19843184],[-0.28524635  0.17452797],[0.19116553 0.17134903],[ 0.09828485 -0.39469251],[ 0.29499457 -0.36674448],[0.19007301 0.44808629],[-0.18269375 -0.37934114],[-0.10392932  0.38819021],[ 0.19735005 -0.23119797],[ 0.01531256 -0.18671759],[-0.11345449  0.23511133],[0.09429139 0.36584184],[-0.11762977 -0.01250831],[-0.38022263  0.00919478],[0.28666553 0.23781711],[-0.0098093 -0.4100601],[0.31745676 0.41578953],[-0.21563315  0.24688549],[-0.31840701 -0.19124408],[-0.21190617 -0.23847758],[-0.40577255 -0.22736564],[ 0.09739325 -0.20695472],[0.00157564 0.35381116],[-0.39114719  0.20795122],[ 0.31729101 -0.04205108],[ 0.09630911 -0.02919366],[-0.40653217 -0.43435713],[-0.09750316 -0.18563921],[-0.31503091  0.40989859],[0.01201114 0.17937368],[-0.31282457  0.01084146],[-0.09581869 -0.38076632],[0.11590988 0.18470706],[0.01337957 0.01851594],"[0.19537037037037036, 0.1, -0.12037037037037036, -0.1685185185185185, -0.4148148148148148, -0.2759259259259259, -0.11666666666666667, -0.1259259259259259, -0.37962962962962965, -0.31296296296296294, -0.17685185185185184, 0.10462962962962963]","[0.44074074074074077, 0.37962962962962965, 0.3925925925925926, 0.36574074074074076, 0.3814814814814815, 0.17037037037037037, 0.23703703703703705, -0.016666666666666666, 0.0, -0.36666666666666664, -0.3925925925925926, -0.387037037037037]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4.2840730789639565, 4.888353686128312, 5.904174301093008, 6.555676377637155, 7.236834482828954, 8.92265977910688, 10.155727878091056, 11.136868916621552, 12.484563985858586, 17.086289701772102, 18.70333304688552, 19.65253388844053]","['polygon_12', 'polygon_18', 'polygon_14', 'polygon_3', 'polygon_2', 'polygon_8', 'polygon_17', 'polygon_19', 'polygon_20', 'polygon', 'polygon_13', 'polygon_10']",142.52102654767305,142.52102654767305,001,001,2023-04-12_10h12.05.288,foraging_expt_polygons_hard_AB,2022.2.4,60.0165183441434,
